Date,Open,High,Low,Close,Volume
09/10/19,52.80,53.00,52.55,52.80,799710
09/09/19,52.20,52.70,51.75,52.70,215730
09/06/19,52.70,53.10,52.40,52.40,773920
09/05/19,52.70,53.30,52.00,53.00,972730
09/04/19,52.85,53.95,52.00,52.70,1074600
09/03/19,53.10,53.50,52.85,53.10,1064860
09/02/19,53.00,53.90,52.45,53.10,2280790
08/30/19,52.00,53.90,52.00,53.90,3207590
08/29/19,51.70,52.30,50.45,52.00,2750980
08/28/19,49.90,51.70,49.90,51.70,1870350
08/27/19,51.25,51.25,50.00,50.00,5029290
08/23/19,50.50,51.75,50.05,51.30,1099230
08/22/19,50.55,51.35,50.00,50.50,1433640
08/20/19,51.70,51.80,50.55,50.70,681420
08/19/19,49.55,51.80,49.00,51.80,1404500
08/16/19,49.25,49.90,48.55,49.50,1596800
08/15/19,48.00,49.25,47.90,49.25,2007700
08/14/19,51.00,51.00,49.30,49.45,1473200
08/13/19,49.85,51.50,49.00,51.50,2135900
08/09/19,49.95,51.40,49.85,49.85,1380800
08/08/19,50.20,51.00,49.95,49.95,783100
08/07/19,49.70,51.60,49.70,49.95,1166500
08/06/19,51.00,51.00,49.10,49.70,2494310
08/05/19,52.60,53.10,51.25,51.25,2014990
08/02/19,52.30,53.30,52.25,52.60,1196700
08/01/19,52.50,53.40,52.30,52.50,1210890
07/31/19,53.75,54.70,52.55,53.00,1761030
07/30/19,55.50,55.50,53.95,53.95,930750
07/29/19,56.50,56.50,54.25,55.50,1080020
07/26/19,57.75,57.75,56.00,56.00,730580
07/25/19,56.60,57.80,55.80,57.80,612300
07/24/19,56.00,56.95,55.30,56.00,483360
07/23/19,57.00,57.20,56.20,56.55,5937470
07/22/19,56.40,57.00,56.05,57.00,1145900
07/19/19,57.90,57.90,57.30,57.65,1170040
07/18/19,56.35,57.15,56.35,56.50,963450
07/17/19,58.40,58.40,56.20,56.20,424850
07/16/19,59.50,59.50,57.20,57.20,823360
07/15/19,56.00,59.50,56.00,59.50,1073670
07/12/19,56.80,57.10,56.00,56.00,1090530
07/11/19,56.20,57.00,55.25,56.20,761730
07/10/19,55.05,56.00,54.00,56.00,612560
07/09/19,55.00,55.45,54.65,55.05,626770
07/08/19,55.70,55.75,54.55,55.00,626840
07/05/19,56.00,56.00,55.00,55.50,1897380
07/04/19,56.10,56.30,55.10,55.10,326080
07/03/19,55.80,56.45,55.60,56.00,1943300
07/02/19,54.75,55.50,54.20,55.45,799350
07/01/19,55.00,55.00,53.90,54.75,385790
06/28/19,55.00,55.90,53.80,55.00,861200
06/27/19,54.50,55.90,54.45,55.00,1383150
06/26/19,55.40,55.40,54.05,54.50,773750
06/25/19,55.50,55.80,54.90,55.40,557970
06/24/19,55.25,55.60,54.85,54.85,519650
06/21/19,55.00,55.05,53.90,54.85,1863320
06/20/19,54.20,54.95,53.70,54.90,478230
06/19/19,54.05,54.90,53.70,53.70,1426760
06/18/19,54.05,55.00,53.60,55.00,891270
06/17/19,55.00,55.25,54.00,54.05,972350
06/14/19,56.15,56.15,54.60,55.00,1388550
06/13/19,55.20,55.60,55.00,55.40,2152080
06/11/19,55.70,56.50,54.80,55.45,728710
06/10/19,55.30,56.70,54.45,55.70,724650
06/07/19,54.80,55.35,54.15,55.35,458450
06/06/19,54.40,54.75,54.15,54.55,554140
06/04/19,56.70,56.70,54.10,54.50,1025230
06/03/19,55.90,57.80,55.20,55.40,1472300
05/31/19,54.50,55.90,54.50,55.90,1150070
05/30/19,54.80,55.35,54.05,54.50,1181280
05/29/19,54.20,55.40,53.35,54.80,1664720
05/28/19,54.35,55.85,53.35,54.15,17478789
05/27/19,52.05,54.40,52.05,54.40,673930
05/24/19,52.25,53.50,50.20,52.70,1310260
05/23/19,52.05,52.55,51.00,52.30,1015500
05/22/19,50.20,55.50,49.40,51.80,2596000
05/21/19,50.50,51.30,49.70,49.80,1390610
05/20/19,48.00,50.35,48.00,50.25,1866700
05/17/19,47.00,49.00,47.00,48.05,1506800
05/16/19,47.00,47.50,46.95,47.00,2954300
05/15/19,46.85,48.00,46.70,46.70,2754700
05/14/19,48.20,49.95,46.70,46.70,4125800
05/10/19,51.00,51.20,48.60,48.60,3521790
05/09/19,52.55,53.00,50.80,51.20,3292440
05/08/19,52.00,53.05,50.80,53.05,1519110
05/07/19,53.00,53.00,52.55,52.55,1916380
05/06/19,52.00,53.00,52.00,52.55,2323800
05/03/19,54.00,54.95,52.00,52.00,893500
05/02/19,55.95,56.00,54.00,54.00,1230110
04/30/19,55.10,56.65,55.10,55.60,754520
04/29/19,54.80,56.80,54.05,56.80,956380
04/26/19,54.50,55.05,52.50,55.00,758070
04/25/19,55.15,56.10,54.00,54.00,1299830
04/24/19,55.05,56.35,55.05,55.85,1483230
04/23/19,55.00,56.35,54.50,56.35,791600
04/22/19,54.85,55.50,54.60,55.00,395000
04/17/19,56.70,56.70,54.50,55.00,560080
04/16/19,56.60,57.80,55.80,55.80,529480
04/15/19,59.00,59.00,56.00,56.00,1215110
04/12/19,59.20,59.75,58.95,59.00,171170
04/11/19,59.75,60.95,59.20,59.20,428100
04/10/19,60.20,60.95,59.95,60.95,772230
04/08/19,60.40,60.60,59.95,60.00,643200
04/05/19,60.25,60.60,59.00,59.95,342130
04/04/19,60.00,60.25,59.00,60.25,5169190
04/03/19,59.60,60.00,59.25,60.00,876500
04/02/19,59.90,59.90,58.60,59.25,1557530
04/01/19,58.90,59.90,58.75,59.80,493490
03/29/19,59.00,59.10,58.10,58.95,651590
03/28/19,59.20,59.20,58.00,58.00,503550
03/27/19,58.75,59.50,57.60,58.70,417490
03/26/19,59.20,59.30,57.75,58.75,582540
03/25/19,59.55,59.55,57.00,59.15,816700
03/22/19,59.35,60.50,58.50,59.55,1019050
03/21/19,57.75,59.50,56.55,58.50,1775580
03/20/19,58.40,58.40,56.20,56.20,843420
03/19/19,58.00,58.75,57.95,58.40,640720
03/18/19,56.90,58.00,55.75,58.00,582910
03/15/19,58.35,58.35,56.95,56.95,4147040
03/14/19,58.95,58.95,57.70,58.35,1973770
03/13/19,57.60,59.25,57.60,58.95,2226770
03/12/19,57.20,58.10,57.10,58.00,3157370
03/11/19,58.85,59.05,56.90,56.90,1844930
03/08/19,59.50,59.50,58.75,58.80,950040
03/07/19,58.60,60.00,58.60,58.65,2094010
03/06/19,58.80,60.00,58.35,58.60,1931480
03/05/19,59.90,60.00,58.40,58.90,1941080
03/04/19,59.00,59.95,58.60,59.80,1346780
03/01/19,61.00,61.85,58.50,60.00,2149460
02/28/19,63.40,63.40,61.00,61.00,2609410
02/27/19,63.80,64.20,62.50,63.00,994720
02/26/19,64.50,64.60,63.15,64.60,823100
02/22/19,63.50,64.50,62.70,64.50,663630
02/21/19,63.15,64.40,62.60,63.00,1005770
02/20/19,62.20,65.15,62.20,64.50,862880
02/19/19,63.55,63.60,62.10,62.15,1867170
02/18/19,65.40,65.40,63.55,63.55,679270
02/15/19,63.00,66.00,62.40,66.00,2127800
02/14/19,63.90,63.90,62.50,62.55,769070
02/13/19,63.95,63.95,62.70,63.00,572790
02/12/19,64.00,64.30,62.65,63.95,794620
02/11/19,63.00,64.50,62.50,64.00,864930
02/08/19,63.00,64.05,62.50,62.50,1059000
02/07/19,61.90,63.60,61.90,63.20,456300
02/06/19,62.50,64.35,61.75,61.75,906320
02/04/19,64.00,64.95,62.10,62.30,932230
02/01/19,64.35,66.00,64.00,64.00,1230130
01/31/19,64.40,66.55,64.00,64.25,1924040
01/30/19,64.15,65.70,63.05,64.00,1042290
01/29/19,65.00,65.50,63.35,64.00,1941130
01/28/19,64.70,65.80,63.00,63.00,1117720
01/25/19,67.00,67.00,62.30,62.30,2428360
01/24/19,66.90,67.45,65.00,65.00,2191980
01/23/19,64.70,65.00,64.00,65.00,1174140
01/22/19,66.75,68.90,66.00,66.00,1362490
01/21/19,67.90,69.50,66.60,66.60,629600
01/18/19,66.00,68.65,65.95,67.90,2566800
01/17/19,64.80,66.00,63.00,66.00,1112350
01/16/19,64.70,64.80,60.70,64.80,1042460
01/15/19,64.40,64.80,63.10,64.80,1392310
01/14/19,60.70,64.40,59.10,64.40,1561530
01/11/19,62.10,63.00,60.00,60.00,939200
01/10/19,61.00,62.60,60.10,61.60,3007220
01/09/19,58.20,61.00,57.40,61.00,2684420
01/08/19,58.00,58.60,57.20,57.20,819970
01/07/19,58.25,59.20,57.20,57.20,1020350
01/04/19,55.70,59.55,55.70,57.00,1866700
01/03/19,54.75,56.50,53.35,56.50,1028870
01/02/19,55.00,56.00,52.30,53.20,648730
12/28/18,55.80,55.80,54.65,55.00,663970
12/27/18,56.50,56.50,54.65,55.00,1814180
12/26/18,55.50,56.80,53.65,55.40,549710
12/21/18,56.80,56.90,55.00,56.00,1820520
