Date,Open,High,Low,Close,Volume
09/10/19,12.10,12.28,12.10,12.12,6105100
09/09/19,12.44,12.44,12.12,12.20,4095600
09/06/19,12.16,12.40,12.16,12.20,6690200
09/05/19,12.48,12.50,12.06,12.10,11444000
09/04/19,12.60,12.60,12.10,12.24,5334100
09/03/19,12.90,12.90,12.44,12.44,7399300
09/02/19,13.00,13.10,12.80,12.92,4372300
08/30/19,12.98,13.16,12.60,12.70,11598500
08/29/19,12.78,13.16,12.78,12.98,5030300
08/28/19,12.34,12.88,12.26,12.76,8412500
08/27/19,12.26,12.42,12.10,12.26,13485300
08/23/19,12.76,12.80,12.06,12.26,19819301
08/22/19,13.20,13.20,12.64,12.80,19390801
08/20/19,13.30,13.38,13.08,13.20,10724000
08/19/19,13.20,13.30,13.08,13.20,11098600
08/16/19,12.88,13.10,12.84,13.02,14742400
08/15/19,13.06,13.06,12.40,12.68,18355000
08/14/19,14.00,14.00,13.30,13.30,9213800
08/13/19,14.18,14.18,13.34,14.12,7329800
08/09/19,14.46,14.48,14.18,14.18,2398100
08/08/19,14.64,14.74,14.46,14.46,3319100
08/07/19,14.64,14.90,14.64,14.80,6954000
08/06/19,15.06,15.06,14.60,14.60,6000500
08/05/19,15.50,15.50,15.16,15.22,5156400
08/02/19,15.32,15.50,15.30,15.50,4427100
08/01/19,15.50,15.62,15.22,15.62,3238800
07/31/19,15.50,15.64,15.40,15.58,5602900
07/30/19,15.70,15.80,15.54,15.60,3393100
07/29/19,15.80,15.80,15.60,15.74,2204900
07/26/19,15.78,15.90,15.50,15.80,7415900
07/25/19,15.60,15.80,15.54,15.80,5246900
07/24/19,15.72,15.72,15.46,15.60,3183700
07/23/19,15.78,15.84,15.68,15.72,2866300
07/22/19,15.68,15.74,15.52,15.74,2439300
07/19/19,15.60,16.04,15.48,15.90,8617000
07/18/19,15.64,15.74,15.48,15.58,3069300
07/17/19,15.84,15.84,15.64,15.64,9960500
07/16/19,15.74,16.20,15.74,15.82,16138500
07/15/19,15.46,15.90,15.28,15.70,6189000
07/12/19,15.74,15.74,15.50,15.50,5076700
07/11/19,15.40,15.74,15.36,15.74,2055400
07/10/19,15.22,15.48,15.22,15.40,5145900
07/09/19,15.22,15.32,15.14,15.20,3753700
07/08/19,15.40,15.62,15.14,15.30,6328400
07/05/19,15.68,15.78,15.56,15.70,5698200
07/04/19,15.72,15.92,15.68,15.70,4932600
07/03/19,15.84,15.88,15.70,15.70,3564900
07/02/19,15.44,15.96,15.44,15.86,8362000
07/01/19,15.44,15.60,15.38,15.42,4111300
06/28/19,15.46,15.70,15.28,15.44,5802300
06/27/19,15.24,15.46,15.20,15.32,5658200
06/26/19,15.40,15.40,15.12,15.24,6132700
06/25/19,15.42,15.50,15.30,15.40,3503100
06/24/19,15.18,15.36,15.18,15.20,1945500
06/21/19,15.38,15.56,15.12,15.12,6582400
06/20/19,15.22,15.50,15.22,15.30,7200800
06/19/19,15.10,15.30,15.04,15.20,2281000
06/18/19,15.40,15.40,15.08,15.10,3313300
06/17/19,15.50,15.54,15.36,15.40,2494600
06/14/19,15.58,15.70,15.44,15.50,6818200
06/13/19,15.74,15.80,15.42,15.58,5522800
06/11/19,15.96,16.08,15.70,15.80,4182200
06/10/19,15.52,15.98,15.40,15.98,2719800
06/07/19,15.56,15.60,15.40,15.52,901200
06/06/19,15.80,15.84,15.46,15.60,5048200
06/04/19,15.98,15.98,15.50,15.90,3761400
06/03/19,15.56,16.08,15.32,16.00,9213900
05/31/19,15.28,15.60,15.20,15.60,11671400
05/30/19,15.10,15.46,15.10,15.28,5516400
05/29/19,14.98,15.16,14.90,15.10,4631700
05/28/19,14.54,15.00,14.50,15.00,15426100
05/27/19,14.74,14.74,14.46,14.54,2449800
05/24/19,14.66,14.74,14.28,14.70,2877000
05/23/19,14.60,14.74,14.16,14.74,4160200
05/22/19,14.70,14.74,14.50,14.60,4525900
05/21/19,14.00,14.74,13.90,14.74,6861000
05/20/19,13.90,13.90,13.50,13.80,5436100
