Date,Open,High,Low,Close,Volume
09/10/19,49.10,49.20,48.40,49.00,7122300
09/09/19,49.50,49.70,49.00,49.60,8360200
09/06/19,48.80,49.60,48.70,49.50,12984700
09/05/19,47.95,48.50,47.30,48.50,5748900
09/04/19,47.70,47.80,47.05,47.40,9375400
09/03/19,47.50,47.80,47.10,47.30,10370000
09/02/19,47.35,47.80,47.35,47.40,6942800
08/30/19,48.05,48.20,47.30,47.30,25166000
08/29/19,48.00,48.00,47.40,47.70,12162700
08/28/19,47.75,48.00,47.25,47.75,11207300
08/27/19,48.05,48.30,47.25,47.25,30254801
08/23/19,48.45,49.00,47.75,48.90,12861400
08/22/19,49.00,49.15,48.35,49.15,15526900
08/20/19,48.60,49.50,48.50,49.50,7877600
08/19/19,48.50,49.40,48.20,49.40,12304900
08/16/19,48.50,49.25,48.45,49.25,17231900
08/15/19,47.40,49.00,47.00,48.85,17971500
08/14/19,47.40,49.20,47.40,48.90,18209600
08/13/19,48.40,48.40,46.30,47.25,25680900
08/09/19,48.55,49.05,48.55,48.65,9555100
08/08/19,49.00,49.40,48.70,48.90,8562600
08/07/19,48.15,48.85,48.15,48.50,14069000
08/06/19,48.40,48.40,47.55,48.05,22532500
08/05/19,50.05,50.70,49.15,49.15,6635510
08/02/19,50.00,51.00,49.45,51.00,5717040
08/01/19,49.75,50.05,49.40,50.05,8275400
07/31/19,50.80,51.00,49.75,49.80,11400370
07/30/19,51.55,51.55,50.95,51.10,3898780
07/29/19,51.40,51.65,50.95,51.30,2742030
07/26/19,51.65,51.95,51.35,51.35,4935900
07/25/19,51.55,52.55,51.50,52.55,3269150
07/24/19,52.10,52.15,51.40,52.00,9303770
07/23/19,52.00,52.45,51.90,52.10,5278510
07/22/19,51.40,52.20,51.40,51.95,4289060
07/19/19,52.50,52.85,52.00,52.00,8880370
07/18/19,52.20,52.50,52.10,52.35,10337980
07/17/19,52.00,52.75,52.00,52.20,10579870
07/16/19,53.50,53.85,51.80,51.80,15736830
07/15/19,53.00,53.60,52.80,53.50,9744540
07/12/19,52.60,53.00,52.30,53.00,11368580
07/11/19,51.80,53.00,51.55,53.00,10327970
07/10/19,51.55,51.60,51.00,51.25,6420600
07/09/19,52.05,52.40,51.25,51.45,8054490
07/08/19,51.85,52.65,51.80,52.10,18957551
07/05/19,51.50,52.45,51.50,52.20,12579070
07/04/19,51.55,51.95,51.40,51.40,6029720
07/03/19,51.75,52.35,51.55,51.75,8364750
07/02/19,51.55,51.70,51.05,51.45,9924340
07/01/19,50.95,51.70,50.70,51.70,5484330
06/28/19,50.70,50.80,50.40,50.80,10811670
06/27/19,50.65,50.90,50.45,50.60,10739880
06/26/19,50.60,51.00,50.40,51.00,10266840
06/25/19,51.80,51.90,50.50,50.55,9625940
06/24/19,50.50,52.00,50.50,51.80,11312640
06/21/19,50.70,51.20,50.55,50.75,15389290
06/20/19,50.40,50.80,50.35,50.55,9349280
06/19/19,50.50,51.00,50.40,51.00,6188500
06/18/19,50.05,50.85,49.90,49.90,9667740
06/17/19,50.55,50.95,50.00,50.50,6289810
06/14/19,51.15,51.15,50.05,50.50,14160300
06/13/19,51.15,51.50,49.75,51.50,15622940
06/11/19,50.65,51.35,50.45,51.00,9236680
06/10/19,49.85,50.70,49.70,50.65,13988300
06/07/19,50.10,50.75,49.70,49.80,8418480
06/06/19,51.00,51.25,50.00,50.00,22628230
06/04/19,51.70,51.95,50.20,50.50,13833060
06/03/19,49.75,52.50,49.65,52.45,26167400
05/31/19,48.60,49.60,48.50,49.50,27118400
05/30/19,48.50,49.45,48.20,48.20,11443900
05/29/19,48.60,48.70,48.40,48.50,8398400
05/28/19,48.10,48.65,47.40,48.65,27116699
05/27/19,47.15,48.30,47.15,48.10,13000200
05/24/19,48.45,48.45,47.40,47.70,8521800
05/23/19,48.00,48.50,48.00,48.50,10520300
05/22/19,47.75,48.30,47.60,48.00,9664900
05/21/19,47.50,48.00,46.80,47.90,9615700
05/20/19,46.75,47.60,46.75,47.50,4448100
05/17/19,46.30,47.80,46.30,46.75,10989800
05/16/19,47.00,47.85,46.40,46.60,12575700
05/15/19,47.95,47.95,47.00,47.00,10143000
05/14/19,47.20,48.30,47.00,47.95,20830600
05/10/19,47.00,47.50,46.10,47.00,11832700
05/09/19,46.00,46.95,46.00,46.80,12875700
05/08/19,46.90,47.00,45.95,47.00,21210699
05/07/19,46.30,47.50,46.30,46.95,9516200
05/06/19,47.40,47.40,46.30,46.80,21637100
05/03/19,48.00,48.05,47.40,47.40,12052600
05/02/19,49.10,49.40,48.00,48.00,16279800
04/30/19,48.50,48.95,48.40,48.95,10638500
04/29/19,48.15,48.80,48.00,48.50,23440400
04/26/19,49.50,49.60,48.00,48.50,20647000
04/25/19,48.00,49.50,47.95,49.50,18473500
04/24/19,47.40,48.10,47.10,48.00,19145699
04/23/19,46.95,47.00,46.35,47.00,13110000
04/22/19,46.60,47.10,46.60,47.00,14978400
04/17/19,46.95,47.20,46.80,47.00,19386600
04/16/19,46.70,47.45,46.70,47.30,24760301
04/15/19,46.40,46.90,46.40,46.80,25336301
04/12/19,46.70,46.75,46.40,46.60,14220900
04/11/19,45.50,46.95,45.50,46.70,22570301
04/10/19,45.10,45.50,44.95,45.35,41430398
04/08/19,45.00,45.00,44.85,45.00,9190300
04/05/19,44.50,45.10,44.50,45.00,7025000
04/04/19,44.60,44.75,44.40,44.50,11193000
04/03/19,44.60,44.85,44.50,44.60,4761300
04/02/19,45.00,45.00,44.80,44.95,11397100
04/01/19,44.85,45.15,44.70,45.00,17106900
03/29/19,44.40,44.90,44.00,44.90,14318300
03/28/19,44.55,44.60,43.70,44.00,15297400
03/27/19,44.80,44.90,43.55,43.55,11748200
03/26/19,44.40,44.95,44.00,44.50,12287800
03/25/19,44.85,44.85,43.60,43.85,6083600
03/22/19,44.70,45.75,44.70,45.00,18796301
03/21/19,44.00,44.70,43.85,44.70,13282700
03/20/19,43.25,43.70,43.25,43.70,12432300
03/19/19,43.10,43.45,43.00,43.25,12974100
03/18/19,43.10,43.45,43.10,43.45,8801200
03/15/19,42.80,43.15,42.60,43.10,13077100
03/14/19,42.85,43.45,42.65,42.80,9923800
03/13/19,42.80,43.00,42.60,42.85,8636800
03/12/19,43.15,43.55,42.80,42.90,6182100
03/11/19,43.60,43.80,42.90,43.15,5778100
03/08/19,43.10,43.85,43.00,43.00,7222600
03/07/19,43.65,43.85,43.30,43.40,8307500
03/06/19,43.30,44.40,43.25,44.25,8415100
03/05/19,43.00,43.55,43.00,43.25,19086400
03/04/19,43.20,43.65,42.80,42.90,7216400
03/01/19,43.80,44.10,43.00,43.20,9124800
02/28/19,44.65,44.90,44.00,44.00,14014800
02/27/19,44.65,44.90,44.15,44.65,8828100
02/26/19,44.00,45.00,44.00,44.95,17597900
02/22/19,44.00,44.50,43.90,44.50,7967400
02/21/19,43.90,44.05,43.60,44.00,17149000
02/20/19,43.10,43.90,43.10,43.90,12209300
02/19/19,44.65,44.90,42.50,43.00,17025600
02/18/19,44.60,44.95,44.40,44.65,8435200
02/15/19,44.95,44.95,44.20,44.50,6612900
02/14/19,44.50,45.00,44.45,45.00,6798400
02/13/19,44.85,44.90,43.90,44.40,13515400
02/12/19,44.90,45.00,44.45,44.80,6118700
02/11/19,45.00,45.20,44.80,44.90,5238400
02/08/19,45.20,45.25,44.85,45.00,10289800
02/07/19,45.00,45.25,44.85,45.25,12189700
02/06/19,44.90,45.15,44.75,45.00,10605900
02/04/19,44.55,44.95,44.55,44.85,2473700
02/01/19,44.70,45.25,44.50,44.95,22515801
01/31/19,43.75,44.75,43.75,44.40,20312100
01/30/19,43.10,44.20,43.10,43.75,17467400
01/29/19,44.20,44.45,42.85,43.10,25127000
01/28/19,44.60,44.80,43.85,44.20,15793200
01/25/19,44.35,44.90,44.20,44.60,8118100
01/24/19,44.10,44.95,44.10,44.35,7146700
01/23/19,44.05,44.50,43.85,44.10,11115000
01/22/19,45.25,45.25,44.40,44.70,10702600
01/21/19,44.60,45.75,44.15,45.30,7445000
01/18/19,44.65,45.15,44.20,45.00,11539200
01/17/19,43.30,45.00,43.25,45.00,25486100
01/16/19,44.75,44.75,43.10,43.10,11804800
01/15/19,44.00,45.10,43.95,45.00,14994800
01/14/19,44.00,44.55,42.70,44.55,12455600
01/11/19,45.00,45.05,44.20,44.35,16485000
01/10/19,44.80,45.25,43.70,45.00,22832199
01/09/19,43.90,45.00,43.90,45.00,20331600
01/08/19,44.80,44.80,43.50,43.90,11078100
01/07/19,43.80,45.00,43.80,44.80,16911801
01/04/19,42.35,44.35,42.35,43.70,27004801
01/03/19,41.25,42.50,40.75,42.45,14316500
01/02/19,40.60,41.95,40.60,41.30,4850600
12/28/18,41.10,42.00,40.60,40.60,11717100
12/27/18,41.20,42.10,40.60,40.60,8096700
12/26/18,40.90,41.25,40.70,41.25,4393400
12/21/18,42.05,42.70,41.10,41.30,14895700
12/20/18,42.50,42.90,41.75,42.05,9558300
12/19/18,42.45,43.20,42.15,43.20,8144400
12/18/18,41.90,42.50,41.55,42.50,4487500
12/17/18,42.00,42.60,41.80,42.50,7611500
