Date,Open,High,Low,Close,Volume
09/10/19,36.15,36.90,36.10,36.90,464900
09/09/19,36.40,36.60,36.05,36.60,282500
09/06/19,36.60,37.00,36.40,36.40,827900
09/05/19,36.80,37.15,36.50,36.50,684700
09/04/19,37.20,37.75,36.75,36.75,518700
09/03/19,37.25,37.70,37.20,37.45,806400
09/02/19,36.85,37.85,36.85,37.60,1315400
08/30/19,37.55,38.00,37.55,38.00,3908500
08/29/19,36.60,37.85,36.00,37.85,4156900
08/28/19,36.00,36.45,35.25,36.40,1982900
08/27/19,36.85,36.85,35.20,35.20,5439600
08/23/19,35.95,37.00,35.40,37.00,1599200
08/22/19,36.00,36.10,35.00,36.00,1186500
08/20/19,36.30,36.30,34.55,36.00,1461100
08/19/19,35.60,36.55,35.00,36.30,1408000
08/16/19,35.00,35.60,34.20,35.50,1992200
08/15/19,34.20,34.90,34.00,34.60,1007300
08/14/19,34.10,35.00,34.10,34.20,1027100
08/13/19,34.50,35.00,34.00,34.10,1259900
08/09/19,35.25,35.30,34.50,34.50,695500
08/08/19,36.00,36.00,35.25,35.25,690400
08/07/19,35.40,36.00,34.90,35.95,1414500
08/06/19,34.70,35.50,34.00,35.40,1854100
08/05/19,34.95,35.15,34.50,34.70,1846700
08/02/19,34.70,34.80,34.55,34.80,3227900
08/01/19,35.00,35.00,34.60,34.60,3956000
07/31/19,36.00,36.00,35.10,35.40,3697700
07/30/19,36.50,36.50,36.20,36.20,1027600
07/29/19,36.60,36.65,36.35,36.50,911100
07/26/19,36.80,37.00,36.60,36.65,991900
07/25/19,37.00,37.05,36.70,36.80,1473800
07/24/19,37.40,37.40,36.90,37.00,1602200
07/23/19,37.40,37.65,37.40,37.50,1719900
07/22/19,36.50,37.40,36.50,37.40,704600
07/19/19,37.50,37.50,36.65,37.00,2073400
07/18/19,37.50,37.50,37.00,37.20,2596200
07/17/19,37.80,38.00,37.30,37.50,1156700
07/16/19,37.95,38.00,37.40,37.50,2628700
07/15/19,36.40,38.00,36.20,38.00,1579400
07/12/19,36.50,36.90,36.50,36.50,1052700
07/11/19,36.75,36.90,36.70,36.75,2627800
07/10/19,36.90,37.00,36.55,36.70,2278400
07/09/19,37.10,37.10,36.70,36.80,764600
07/08/19,37.00,37.20,36.60,37.10,551600
07/05/19,37.00,37.00,36.60,37.00,378400
07/04/19,37.50,37.50,36.00,36.90,981600
07/03/19,36.55,37.50,36.40,37.50,1982400
07/02/19,35.75,36.50,35.60,36.50,1415600
07/01/19,35.00,35.75,34.85,35.75,974700
06/28/19,35.20,35.50,34.80,34.80,686900
06/27/19,35.20,35.20,34.95,35.00,1317000
06/26/19,35.20,35.50,34.65,35.20,1026000
06/25/19,35.30,35.70,34.00,35.00,1278500
06/24/19,35.35,35.50,35.00,35.30,536600
06/21/19,35.60,35.65,35.00,35.00,2103200
06/20/19,35.00,35.60,34.95,35.60,381900
06/19/19,34.85,35.40,34.85,35.00,1412000
06/18/19,34.90,35.50,34.80,34.85,1021500
06/17/19,35.10,35.50,34.85,34.90,1171300
06/14/19,35.00,35.50,34.95,35.00,1005400
06/13/19,35.35,35.35,35.00,35.00,2597600
06/11/19,35.75,36.00,35.30,35.35,1366300
06/10/19,35.15,35.95,35.00,35.00,545300
06/07/19,35.50,36.00,35.05,35.10,759100
06/06/19,35.80,36.00,35.50,35.50,1388600
06/04/19,36.30,37.25,35.80,35.80,597400
06/03/19,36.70,36.95,36.20,36.30,1631900
05/31/19,35.30,36.70,35.30,36.50,3007900
05/30/19,35.70,35.85,35.30,35.30,3457600
05/29/19,35.95,35.95,35.50,35.70,2228000
05/28/19,35.35,36.20,34.95,35.70,6176700
05/27/19,35.60,35.90,35.35,35.35,761800
05/24/19,36.00,36.30,35.30,35.60,610200
05/23/19,36.70,36.70,36.00,36.35,579900
05/22/19,36.05,36.70,35.85,36.70,2112200
05/21/19,35.50,36.35,35.50,36.05,726700
05/20/19,35.00,35.55,34.60,35.50,853200
05/17/19,34.15,35.50,34.15,34.70,1355500
05/16/19,34.50,34.60,33.10,34.15,2890400
05/15/19,35.40,35.40,34.60,34.65,2103800
05/14/19,35.15,35.60,34.65,35.00,1537800
05/10/19,34.55,35.50,34.55,35.20,1800100
05/09/19,35.60,35.60,34.50,34.50,2133500
05/08/19,35.00,35.60,34.25,35.60,1653800
05/07/19,36.05,36.50,35.00,35.00,1719100
05/06/19,36.00,36.50,35.50,36.05,917500
05/03/19,36.60,37.00,35.90,35.90,780000
05/02/19,37.00,37.00,36.50,36.60,1638800
04/30/19,37.50,37.70,36.85,37.70,1435600
04/29/19,37.40,37.70,37.10,37.50,1011500
04/26/19,37.80,37.80,37.05,37.40,1106800
04/25/19,36.90,38.00,36.45,38.00,2119800
04/24/19,36.65,36.90,36.45,36.90,747100
04/23/19,36.00,36.65,35.90,36.65,839000
04/22/19,35.95,36.15,35.80,36.00,998300
04/17/19,36.00,36.55,35.85,35.95,661000
04/16/19,35.80,36.20,35.50,35.95,767500
04/15/19,36.30,36.30,35.50,35.50,642000
04/12/19,36.40,36.55,36.20,36.30,1281900
04/11/19,36.60,36.75,36.10,36.30,2462500
04/10/19,36.25,36.95,35.90,36.60,1921100
04/08/19,36.00,36.30,35.50,35.50,850000
04/05/19,35.70,36.15,35.50,36.00,1011900
04/04/19,35.50,35.70,35.10,35.70,709600
04/03/19,35.25,35.50,34.60,35.10,581200
04/02/19,35.20,35.60,35.10,35.60,470100
04/01/19,35.40,35.40,34.70,35.20,555100
03/29/19,35.15,35.40,34.85,35.40,683400
03/28/19,34.05,35.20,34.05,35.20,1118300
03/27/19,35.30,35.30,34.00,34.00,734700
03/26/19,35.40,35.40,34.55,35.30,526500
03/25/19,35.55,35.55,34.50,35.40,717800
03/22/19,35.55,35.65,35.10,35.60,837700
03/21/19,35.40,35.60,35.15,35.50,1510200
03/20/19,34.50,35.40,34.50,35.40,1363800
03/19/19,35.00,35.05,34.50,34.50,785700
03/18/19,35.00,35.00,34.40,35.00,1147300
03/15/19,35.55,35.55,35.15,35.50,2375800
03/14/19,35.20,35.55,34.50,35.55,2451300
03/13/19,35.10,35.45,35.10,35.45,2840300
03/12/19,33.80,35.05,33.80,35.00,3548600
03/11/19,34.20,34.70,33.60,33.70,1674100
03/08/19,35.00,35.20,34.00,34.00,2368600
03/07/19,34.60,35.10,34.50,34.75,1966900
03/06/19,34.10,35.10,34.10,34.70,1938100
03/05/19,35.00,35.20,34.25,34.25,2388100
03/04/19,35.00,35.50,34.10,34.70,1495600
03/01/19,34.90,35.50,33.10,35.00,2423300
02/28/19,35.95,36.15,34.85,34.85,2620700
02/27/19,36.95,37.00,35.80,35.95,816200
02/26/19,37.20,37.20,36.15,36.95,872500
02/22/19,36.95,37.00,35.90,36.90,949600
02/21/19,36.25,36.95,36.00,36.95,772100
02/20/19,35.10,36.30,35.10,35.90,1310400
02/19/19,35.00,35.85,34.95,34.95,747500
02/18/19,35.90,35.90,34.30,34.90,850700
02/15/19,36.60,37.55,34.00,34.00,1310600
02/14/19,36.65,36.65,35.80,36.00,1278100
02/13/19,37.00,37.00,36.00,36.00,1256300
02/12/19,37.65,38.00,37.00,37.00,985400
02/11/19,37.90,38.00,37.10,37.55,763000
02/08/19,38.10,38.20,37.70,37.75,752400
02/07/19,37.70,38.55,37.65,37.70,667800
02/06/19,38.20,38.95,37.70,37.70,1002200
02/04/19,39.20,39.35,37.85,37.85,570100
02/01/19,38.40,39.25,38.40,39.20,786800
01/31/19,38.25,39.50,38.25,38.40,1867300
01/30/19,38.10,38.50,37.50,38.20,1062500
01/29/19,37.80,38.30,37.75,38.10,1371100
01/28/19,37.70,38.40,37.50,38.40,1302100
01/25/19,37.25,38.10,37.25,38.00,1615300
01/24/19,37.50,38.10,37.00,38.10,1082300
01/23/19,36.50,37.00,36.05,37.00,903100
01/22/19,37.80,38.15,36.80,36.80,1369700
01/21/19,37.95,38.20,37.45,37.45,1327200
01/18/19,36.00,38.00,35.90,37.95,2921900
01/17/19,36.75,36.85,35.40,36.05,1483200
01/16/19,36.95,36.95,36.00,36.20,845400
01/15/19,36.80,37.00,36.50,37.00,1527500
01/14/19,35.80,37.10,35.75,37.00,2227400
01/11/19,36.70,36.70,35.80,35.80,1915700
01/10/19,34.80,36.90,34.80,36.90,2312400
01/09/19,35.10,35.85,34.50,34.50,1857100
01/08/19,36.00,36.00,35.00,35.00,624900
01/07/19,35.80,36.00,35.50,35.60,1129000
01/04/19,35.70,35.75,35.40,35.70,1005800
01/03/19,35.00,35.70,35.00,35.65,967200
01/02/19,35.10,35.25,34.65,35.00,205700
12/28/18,35.45,35.55,34.75,35.10,2202200
12/27/18,34.90,35.90,34.75,35.50,2180100
12/26/18,34.85,34.90,33.90,34.90,1831900
12/21/18,34.20,35.00,33.50,35.00,3219800
12/20/18,33.00,34.40,33.00,34.35,1229100
12/19/18,33.45,33.90,33.05,33.80,2447100
12/18/18,33.55,34.00,33.10,33.20,964300
12/17/18,33.00,34.50,33.00,33.50,1987400
12/14/18,33.20,33.35,32.60,33.10,1495700
12/13/18,33.00,33.30,32.60,33.00,1001600
12/12/18,32.65,33.00,32.20,32.50,789100
12/11/18,32.50,32.95,32.20,32.75,488800
12/10/18,32.85,32.90,32.50,32.75,323900
12/07/18,33.00,33.15,32.00,33.00,962300
12/06/18,33.00,33.10,32.50,32.50,1602800
12/05/18,33.30,33.30,32.80,33.00,1062600
12/04/18,33.10,33.45,32.90,33.45,2732600
12/03/18,32.50,33.30,32.00,33.10,16780301
11/29/18,33.40,33.50,31.70,31.70,4328600
11/28/18,33.40,33.50,33.00,33.40,1601400
11/27/18,33.30,33.50,33.05,33.40,1006300
11/26/18,32.85,33.40,32.80,32.90,1258700
11/23/18,32.50,32.80,31.85,32.75,573000
11/22/18,32.80,32.90,32.00,32.00,890200
11/21/18,32.75,32.90,31.55,32.60,844500
11/20/18,32.45,32.75,32.00,32.75,1625500
11/19/18,31.60,32.50,31.40,32.50,1759900
11/16/18,31.70,31.70,31.40,31.65,2650500
11/15/18,31.40,32.00,31.20,31.25,2395200
11/14/18,31.30,32.00,31.30,31.40,2232000
11/13/18,32.00,32.45,31.20,31.20,24499000
