Date,Open,High,Low,Close,Volume
09/10/19,142.50,143.30,142.20,143.00,1366100
09/09/19,143.50,144.00,142.50,142.50,1556070
09/06/19,145.00,145.00,142.50,142.50,1512940
09/05/19,145.10,146.50,144.20,145.00,2234940
09/04/19,143.40,145.90,143.30,145.00,1584770
09/03/19,146.00,146.90,142.00,142.00,1463960
09/02/19,148.00,148.00,145.00,145.00,553630
08/30/19,146.80,149.50,145.60,149.00,2499900
08/29/19,145.00,147.00,142.50,147.00,1836560
08/28/19,144.80,146.40,144.60,145.00,1832410
08/27/19,148.40,148.40,144.00,145.50,5062190
08/23/19,147.00,148.20,144.30,148.20,2319740
08/22/19,145.00,147.00,143.30,147.00,2328690
08/20/19,147.00,147.00,144.10,145.00,1054810
08/19/19,143.00,148.50,142.20,146.80,1922890
08/16/19,144.00,146.50,142.00,142.00,1534850
08/15/19,143.10,146.00,140.50,145.00,2149890
08/14/19,142.00,148.50,142.00,148.50,1817310
08/13/19,146.20,146.30,141.00,144.20,1969360
08/09/19,146.00,147.90,146.00,146.50,2030730
08/08/19,149.80,149.80,146.00,146.00,1738330
08/07/19,144.20,149.80,144.20,149.80,1667940
08/06/19,145.00,146.20,140.30,144.00,2277850
08/05/19,149.00,149.30,145.60,146.00,2353040
08/02/19,149.80,150.00,148.00,150.00,2249480
08/01/19,146.50,150.40,146.00,150.00,2193860
07/31/19,148.00,149.90,146.50,147.00,2117460
07/30/19,149.00,149.00,147.40,148.40,1390420
07/29/19,148.50,149.70,147.00,148.50,1296750
07/26/19,150.00,152.50,147.20,148.20,1992370
07/25/19,147.30,151.90,145.40,151.90,2246070
07/24/19,150.00,150.90,147.00,147.50,1320080
07/23/19,149.00,152.00,146.20,151.00,2092420
07/22/19,145.80,149.40,145.60,149.40,1652300
07/19/19,147.90,149.50,147.10,148.00,1257370
07/18/19,147.90,150.00,147.70,147.80,1113870
07/17/19,147.30,148.30,147.20,147.20,1159440
07/16/19,154.00,154.00,146.00,146.20,3892430
07/15/19,148.20,154.00,148.10,154.00,3521350
07/12/19,145.10,149.10,145.10,148.20,2169450
07/11/19,142.10,145.00,141.10,145.00,2522360
07/10/19,142.50,142.90,141.50,142.30,1537610
07/09/19,141.10,143.00,141.10,142.50,806800
07/08/19,143.00,143.00,141.10,141.10,734360
07/05/19,139.00,143.00,139.00,143.00,2483140
07/04/19,139.40,141.90,139.40,141.40,2327540
07/03/19,139.00,140.00,138.80,139.40,4067050
07/02/19,139.50,140.00,138.40,139.50,2459500
07/01/19,140.00,140.80,139.00,139.50,2250340
06/28/19,141.50,141.50,138.90,140.00,9138120
06/27/19,142.00,142.80,141.60,142.50,2225000
06/26/19,141.00,142.20,141.00,142.00,3244180
06/25/19,141.80,143.20,138.40,141.00,2491810
06/24/19,141.30,143.40,140.10,141.50,2935810
06/21/19,140.20,141.30,139.10,141.30,3667010
06/20/19,139.20,140.00,138.00,140.00,1429410
06/19/19,138.20,139.90,138.20,139.60,1584980
06/18/19,138.00,138.70,137.40,138.20,2396160
06/17/19,140.00,140.00,137.50,137.90,1895260
06/14/19,140.00,140.00,138.10,140.00,1855030
06/13/19,139.70,140.70,139.70,140.00,3532170
06/11/19,139.50,140.20,139.50,139.90,3402870
06/10/19,139.80,140.60,139.00,139.50,4646900
06/07/19,139.00,139.80,138.20,139.80,1343610
06/06/19,137.50,139.20,135.50,138.00,2252790
06/04/19,138.00,139.80,135.50,137.50,1422550
06/03/19,137.00,139.00,135.10,137.50,2958780
05/31/19,136.00,138.40,135.60,138.00,5115690
05/30/19,135.00,138.30,133.80,136.70,2690520
05/29/19,132.60,134.00,132.60,133.50,2192550
05/28/19,131.60,135.00,131.10,132.00,7919630
05/27/19,133.70,134.00,131.10,132.00,1234950
05/24/19,133.20,135.80,131.00,133.70,2714850
05/23/19,134.10,134.50,132.70,134.50,981350
05/22/19,133.00,134.50,132.00,134.50,998120
05/21/19,130.50,133.30,130.00,133.00,958510
05/20/19,130.10,131.40,128.00,130.90,930950
05/17/19,130.10,132.40,130.10,130.90,6565790
05/16/19,130.00,130.10,126.10,128.50,3747410
05/15/19,130.30,132.50,130.30,131.50,1871430
05/14/19,132.50,133.00,128.50,130.20,4980940
05/10/19,134.20,136.00,133.00,135.80,1489030
05/09/19,137.00,138.90,133.90,134.00,7158330
05/08/19,134.90,139.90,131.90,139.90,2817350
05/07/19,136.90,137.00,134.90,135.90,1822660
05/06/19,138.70,138.70,135.00,135.00,1025170
05/03/19,136.60,141.50,136.50,139.00,3266900
05/02/19,134.00,136.50,133.60,135.90,2555300
04/30/19,133.80,134.00,133.20,134.00,1337290
04/29/19,133.80,134.10,133.00,133.80,805020
04/26/19,134.00,134.00,132.00,134.00,2022640
04/25/19,134.00,134.20,133.80,134.00,2058430
04/24/19,133.60,133.80,133.40,133.60,2426270
04/23/19,133.90,134.00,132.60,133.60,1891750
04/22/19,131.70,134.00,131.50,133.00,1638700
04/17/19,130.00,133.10,130.00,132.00,1400290
04/16/19,132.20,132.20,130.00,130.00,1354280
04/15/19,132.30,133.40,131.70,132.20,1524720
04/12/19,132.40,132.40,131.20,132.00,520530
04/11/19,131.50,132.00,131.20,131.60,1284560
04/10/19,131.90,131.90,130.00,130.90,2691270
04/08/19,131.00,132.00,130.00,130.50,1174260
