Date,Open,High,Low,Close,Volume
09/10/19,92.45,92.75,90.05,92.75,1397680
09/09/19,89.40,92.75,89.00,92.70,1855050
09/06/19,88.50,89.70,88.50,89.00,955730
09/05/19,87.10,89.90,87.10,89.50,1912440
09/04/19,86.70,87.75,86.70,87.75,896090
09/03/19,87.00,87.50,86.80,87.00,1438980
09/02/19,87.75,88.05,87.00,87.00,950300
08/30/19,87.60,88.30,87.05,87.95,3410650
08/29/19,86.90,87.50,86.80,87.50,2391370
08/28/19,87.10,87.50,86.60,86.95,2082440
08/27/19,89.50,89.50,86.75,87.10,3885380
08/23/19,88.45,89.95,87.25,89.90,1722970
08/22/19,88.50,88.50,87.20,88.50,1834060
08/20/19,89.70,90.00,88.00,88.00,1754730
08/19/19,89.00,90.00,88.15,90.00,1683980
08/16/19,89.90,90.90,88.05,89.00,2106160
08/15/19,89.20,90.00,86.25,90.00,2244250
08/14/19,89.50,91.65,89.50,90.30,1366920
08/13/19,93.90,94.15,89.00,91.65,3921770
08/09/19,94.00,94.90,94.00,94.25,3044760
08/08/19,93.90,94.90,92.20,94.15,4554210
08/07/19,89.00,95.00,89.00,94.00,5930830
08/06/19,89.95,89.95,88.00,88.50,4066520
08/05/19,92.40,92.40,90.00,90.50,2593590
08/02/19,91.50,92.40,89.60,92.40,2345180
08/01/19,90.00,91.60,89.30,91.50,2545000
07/31/19,90.00,90.00,89.40,90.00,2657210
07/30/19,90.00,90.90,89.55,90.60,2611980
07/29/19,90.60,90.60,89.25,89.95,1861720
07/26/19,90.05,91.00,90.05,90.60,1099860
07/25/19,90.00,91.60,90.00,91.60,1894950
07/24/19,90.00,90.50,88.50,90.00,2116730
07/23/19,91.50,91.50,90.60,90.65,2927830
07/22/19,91.50,92.00,90.15,92.00,1586830
07/19/19,91.80,93.00,90.50,93.00,4812250
07/18/19,90.00,92.35,90.00,92.00,8065310
07/17/19,89.90,89.90,88.00,89.90,5550570
07/16/19,84.40,90.20,84.30,90.00,20561311
07/15/19,81.80,83.95,81.75,83.90,13730260
07/12/19,80.50,82.00,80.40,81.05,4731620
07/11/19,78.40,80.40,78.40,80.20,5480950
07/10/19,78.05,79.00,78.05,78.50,692750
07/09/19,78.05,78.40,77.85,78.30,4724740
07/08/19,78.60,78.80,78.00,78.00,1192710
07/05/19,79.00,79.35,78.60,78.60,1711550
07/04/19,78.60,79.50,78.60,78.80,1037720
07/03/19,79.10,79.80,78.20,78.20,2714150
07/02/19,79.00,79.40,78.90,79.10,1379070
07/01/19,79.00,79.45,78.10,78.75,1480210
06/28/19,79.00,79.40,77.40,78.50,2659130
06/27/19,79.00,79.75,78.80,78.80,2697940
06/26/19,80.00,80.00,79.00,79.00,1473210
06/25/19,80.25,80.80,79.80,79.80,2320990
06/24/19,80.60,81.25,80.05,80.05,870630
06/21/19,80.50,80.85,80.15,80.50,2531800
06/20/19,80.10,81.00,79.90,81.00,1933660
06/19/19,80.10,81.00,80.00,80.00,1176180
06/18/19,81.25,81.25,79.95,80.10,1041370
06/17/19,82.00,82.00,80.40,81.25,1825550
06/14/19,81.55,82.20,81.00,82.00,1511370
06/13/19,80.65,81.90,80.65,81.90,1751330
06/11/19,82.00,82.35,80.70,80.70,1164940
06/10/19,82.00,82.25,81.70,81.85,6862870
06/07/19,81.50,81.95,81.40,81.80,1663450
06/06/19,81.25,82.50,81.00,81.00,2846360
06/04/19,82.00,83.30,80.00,80.00,2366410
06/03/19,81.00,82.95,80.95,81.85,3171690
05/31/19,79.45,80.90,79.45,80.80,3347780
05/30/19,78.00,80.15,77.95,79.20,2095270
05/29/19,80.00,80.50,77.25,77.30,6146370
05/28/19,81.00,81.00,79.80,79.80,4714420
05/27/19,81.00,81.50,80.85,81.00,1152470
05/24/19,81.05,81.30,80.00,81.00,2021660
05/23/19,81.00,81.85,81.00,81.05,1897710
05/22/19,81.00,82.35,81.00,81.00,1765590
05/21/19,81.25,81.50,80.75,80.80,1766580
05/20/19,80.85,81.70,80.80,81.00,1825310
05/17/19,81.90,83.20,81.00,81.00,3338710
05/16/19,80.95,81.45,80.70,80.90,1466940
05/15/19,82.00,82.25,80.90,80.90,1879620
05/14/19,83.45,83.45,80.50,81.30,3954270
05/10/19,82.35,84.75,82.20,84.75,1526140
05/09/19,84.50,84.50,82.50,82.50,1805830
05/08/19,84.85,85.45,82.55,85.45,1758580
05/07/19,83.50,85.20,83.50,84.85,1761430
05/06/19,85.65,85.65,83.00,83.00,1651630
05/03/19,85.00,86.25,84.85,85.65,4108040
05/02/19,84.85,85.00,84.50,84.80,2306630
04/30/19,83.70,84.85,83.70,84.85,2368700
04/29/19,83.90,83.90,83.60,83.70,2728110
04/26/19,81.95,83.80,81.95,83.45,3281870
04/25/19,82.00,82.80,81.25,81.50,1901340
04/24/19,82.00,82.50,81.50,82.00,1773370
04/23/19,82.00,82.20,81.80,82.00,1599400
04/22/19,83.00,83.40,81.95,82.80,2213740
04/17/19,81.80,83.00,81.50,83.00,1154150
04/16/19,81.15,81.80,81.00,81.20,2746190
04/15/19,82.70,82.70,80.70,80.70,1987080
04/12/19,83.50,83.55,81.50,81.50,2147750
