Date,Open,High,Low,Close,Volume
09/10/19,8.83,9.10,8.83,9.05,8011800
09/09/19,8.83,8.96,8.82,8.85,3519600
09/06/19,8.91,8.91,8.80,8.82,5438800
09/05/19,8.90,9.00,8.90,8.90,3740400
09/04/19,8.95,8.95,8.88,8.89,9246100
09/03/19,9.10,9.24,8.80,8.80,9383500
09/02/19,9.25,9.29,9.10,9.10,4818000
08/30/19,9.10,9.21,8.98,9.05,9591900
08/29/19,8.94,9.10,8.85,9.10,5478400
08/28/19,8.80,9.12,8.80,8.90,13397600
08/27/19,9.22,9.24,8.88,8.88,15826300
08/23/19,9.06,9.22,9.01,9.22,3960200
08/22/19,9.30,9.31,9.01,9.13,6983400
08/20/19,9.46,9.47,9.18,9.24,2763600
08/19/19,9.29,9.45,9.29,9.45,5270000
08/16/19,8.81,9.28,8.79,9.25,8829700
08/15/19,9.03,9.03,8.75,8.80,6294800
08/14/19,9.16,9.25,9.08,9.08,5933000
08/13/19,9.65,9.65,9.06,9.14,6010600
08/09/19,9.80,9.86,9.67,9.67,7007300
08/08/19,9.93,9.93,9.79,9.79,3284300
08/07/19,9.84,9.97,9.83,9.87,3608900
08/06/19,10.02,10.08,9.80,9.84,7318700
08/05/19,10.30,10.32,10.04,10.10,3390600
08/02/19,10.22,10.30,10.08,10.30,4015200
08/01/19,10.30,10.30,10.06,10.20,1386400
07/31/19,10.28,10.28,10.14,10.14,9035600
07/30/19,10.48,10.48,10.24,10.30,12786100
07/29/19,10.38,10.52,10.20,10.48,2081400
07/26/19,10.48,10.48,10.34,10.38,2465500
07/25/19,10.48,10.60,10.38,10.48,1769600
07/24/19,10.64,10.70,10.38,10.38,3406300
07/23/19,10.70,10.72,10.62,10.64,4487500
07/22/19,10.42,10.68,10.40,10.68,8504200
07/19/19,10.60,10.64,10.52,10.56,5744500
07/18/19,10.50,10.58,10.46,10.50,1017100
07/17/19,10.70,10.70,10.48,10.50,5745000
07/16/19,10.44,10.74,10.30,10.50,11381900
07/15/19,10.12,10.40,10.12,10.40,4314100
07/12/19,10.16,10.40,10.10,10.10,2552600
07/11/19,10.16,10.16,10.02,10.10,2095400
07/10/19,10.12,10.12,10.02,10.02,3826400
07/09/19,10.24,10.24,10.10,10.12,3101000
07/08/19,10.24,10.30,10.22,10.24,2099800
07/05/19,10.30,10.38,10.22,10.22,4303600
07/04/19,10.48,10.48,10.22,10.22,2110400
07/03/19,10.54,10.56,10.30,10.30,1951500
07/02/19,10.30,10.52,10.30,10.50,4217400
07/01/19,10.32,10.40,10.24,10.30,1196800
06/28/19,10.38,10.40,10.22,10.30,3163900
06/27/19,10.46,10.52,10.26,10.46,3328600
06/26/19,10.46,10.56,10.40,10.46,2825300
06/25/19,10.50,10.52,10.44,10.50,7839600
06/24/19,10.56,10.56,10.42,10.44,3649000
06/21/19,10.46,10.54,10.36,10.54,9540600
06/20/19,10.44,10.50,10.30,10.48,4814600
06/19/19,10.16,10.48,10.12,10.48,2681200
06/18/19,10.16,10.20,10.10,10.12,4895700
06/17/19,10.14,10.20,10.08,10.16,1678800
06/14/19,10.04,10.22,9.95,10.22,5004400
06/13/19,10.24,10.24,9.90,10.00,11316600
06/11/19,10.44,10.56,10.24,10.24,3019000
06/10/19,10.44,10.60,10.40,10.44,2503000
06/07/19,10.38,10.46,10.36,10.44,494700
06/06/19,10.48,10.48,10.26,10.38,2907400
06/04/19,10.62,10.62,10.20,10.24,2961300
06/03/19,10.58,10.72,10.58,10.62,3993700
05/31/19,10.40,10.60,10.40,10.58,3833100
05/30/19,10.52,10.60,10.30,10.40,5722300
05/29/19,10.46,10.54,10.30,10.40,2316400
05/28/19,10.14,10.46,10.14,10.46,16745301
05/27/19,10.04,10.30,10.04,10.16,2552000
05/24/19,10.32,10.32,10.06,10.12,2308900
05/23/19,10.48,10.48,10.22,10.46,4474300
05/22/19,10.68,10.68,10.44,10.58,4045600
05/21/19,10.50,10.66,10.28,10.60,8544900
05/20/19,9.84,10.42,9.82,10.42,10226600
05/17/19,9.71,9.86,9.71,9.76,5960300
05/16/19,9.83,9.85,9.71,9.71,7983200
05/15/19,10.20,10.48,9.78,9.86,12943700
05/14/19,10.30,10.32,10.02,10.18,5899900
05/10/19,10.52,10.60,10.32,10.38,3440800
05/09/19,10.82,11.00,10.50,10.52,6369600
05/08/19,11.38,11.38,10.80,10.80,4704600
05/07/19,11.24,11.38,11.24,11.34,1157800
05/06/19,11.30,11.52,11.22,11.28,1348200
05/03/19,11.40,11.46,11.28,11.28,3270900
05/02/19,11.22,11.48,11.22,11.40,1584300
04/30/19,11.74,11.74,11.16,11.16,4066500
04/29/19,11.38,11.80,11.38,11.80,2431100
04/26/19,11.44,11.48,11.30,11.38,2265300
04/25/19,11.78,11.78,11.40,11.52,3846300
04/24/19,11.76,11.86,11.56,11.72,6491800
04/23/19,12.14,12.14,11.98,12.00,2030200
04/22/19,12.00,12.16,11.98,12.06,4855000
04/17/19,11.94,12.00,11.80,12.00,3280800
04/16/19,11.90,12.04,11.90,11.92,2707500
04/15/19,12.10,12.32,11.90,11.90,2033200
04/12/19,12.16,12.42,12.08,12.08,5635300
04/11/19,12.16,12.28,12.10,12.16,7071700
04/10/19,11.82,12.10,11.82,12.10,5065400
04/08/19,11.76,12.02,11.74,11.84,4459500
04/05/19,11.92,11.94,11.70,11.74,4625200
04/04/19,11.80,11.90,11.78,11.90,3589600
