Date,Open,High,Low,Close,Volume
09/10/19,1960.00,1985.00,1960.00,1970.00,30525
09/09/19,1947.00,1980.00,1937.00,1980.00,29055
09/06/19,1950.00,1954.00,1910.00,1947.00,33120
09/05/19,1925.00,1939.00,1900.00,1900.00,71855
09/04/19,1998.00,1998.00,1922.00,1922.00,46705
09/03/19,2008.00,2008.00,1972.00,1988.00,13660
09/02/19,1951.00,2010.00,1951.00,2010.00,22585
08/30/19,1901.00,2030.00,1901.00,2030.00,97255
08/29/19,1900.00,1924.00,1890.00,1924.00,36325
08/28/19,1909.00,1909.00,1880.00,1900.00,34140
08/27/19,1899.00,1919.00,1880.00,1880.00,114375
08/23/19,1890.00,1900.00,1890.00,1899.00,47525
08/22/19,1900.00,1939.00,1894.00,1900.00,97455
08/20/19,1930.00,1930.00,1883.00,1900.00,59930
08/19/19,1918.00,1948.00,1880.00,1900.00,59080
08/16/19,1960.00,1988.00,1915.00,1915.00,48505
08/15/19,1960.00,1980.00,1910.00,1960.00,46675
08/14/19,1955.00,2000.00,1910.00,1959.00,44115
08/13/19,1976.00,1976.00,1891.00,1965.00,87545
08/09/19,1973.00,2022.00,1950.00,1950.00,27180
08/08/19,1980.00,2030.00,1971.00,1971.00,92355
08/07/19,1980.00,1994.00,1943.00,1960.00,38660
08/06/19,1980.00,1990.00,1935.00,1954.00,54710
08/05/19,2100.00,2100.00,1984.00,1984.00,63700
08/02/19,2098.00,2116.00,2058.00,2100.00,26305
08/01/19,2152.00,2152.00,2060.00,2098.00,49005
07/31/19,2192.00,2216.00,2148.00,2148.00,90425
07/30/19,2200.00,2244.00,2190.00,2190.00,36335
07/29/19,2210.00,2260.00,2190.00,2260.00,26095
07/26/19,2234.00,2236.00,2204.00,2220.00,37345
07/25/19,2200.00,2236.00,2176.00,2236.00,68780
07/24/19,2180.00,2200.00,2174.00,2190.00,32240
07/23/19,2180.00,2214.00,2180.00,2180.00,17355
07/22/19,2212.00,2238.00,2204.00,2216.00,18860
07/19/19,2238.00,2260.00,2220.00,2244.00,94360
07/18/19,2212.00,2232.00,2182.00,2230.00,50580
07/17/19,2142.00,2208.00,2142.00,2180.00,19070
07/16/19,2240.00,2246.00,2140.00,2140.00,54560
07/15/19,2184.00,2242.00,2184.00,2232.00,76655
07/12/19,2200.00,2240.00,2112.00,2200.00,38080
07/11/19,2172.00,2220.00,2152.00,2200.00,83625
07/10/19,2132.00,2174.00,2132.00,2174.00,64300
07/09/19,2164.00,2164.00,2112.00,2132.00,62390
07/08/19,2262.00,2262.00,2178.00,2196.00,34545
07/05/19,2260.00,2260.00,2236.00,2258.00,32970
07/04/19,2236.00,2276.00,2234.00,2258.00,56690
07/03/19,2216.00,2238.00,2214.00,2236.00,56875
07/02/19,2254.00,2270.00,2214.00,2220.00,41340
07/01/19,2262.00,2268.00,2224.00,2230.00,44705
06/28/19,2260.00,2270.00,2232.00,2262.00,135600
06/27/19,2240.00,2280.00,2240.00,2280.00,64360
06/26/19,2210.00,2268.00,2202.00,2260.00,56000
06/25/19,2208.00,2228.00,2192.00,2200.00,39070
06/24/19,2218.00,2230.00,2182.00,2208.00,37315
06/21/19,2228.00,2230.00,2204.00,2230.00,48175
06/20/19,2260.00,2260.00,2208.00,2214.00,39960
06/19/19,2220.00,2260.00,2202.00,2260.00,61520
06/18/19,2144.00,2200.00,2144.00,2200.00,33680
06/17/19,2202.00,2238.00,2122.00,2162.00,33015
06/14/19,2230.00,2240.00,2190.00,2220.00,53835
06/13/19,2238.00,2274.00,2172.00,2220.00,91470
06/11/19,2230.00,2244.00,2200.00,2200.00,47025
06/10/19,2234.00,2244.00,2226.00,2226.00,11005
06/07/19,2230.00,2272.00,2230.00,2240.00,30235
06/06/19,2294.00,2308.00,2250.00,2274.00,50600
06/04/19,2268.00,2298.00,2202.00,2294.00,98100
06/03/19,2170.00,2260.00,2166.00,2260.00,72535
05/31/19,2220.00,2238.00,2170.00,2170.00,82375
05/30/19,2192.00,2230.00,2128.00,2210.00,81405
05/29/19,2140.00,2186.00,2134.00,2176.00,61135
05/28/19,2064.00,2168.00,2064.00,2112.00,199340
05/27/19,2062.00,2110.00,2062.00,2080.00,31290
05/24/19,2050.00,2102.00,2050.00,2088.00,73395
05/23/19,2100.00,2150.00,2090.00,2100.00,94195
