Date,Open,High,Low,Close,Volume
09/10/19,921.00,935.00,917.00,930.00,207890
09/09/19,900.50,923.00,900.00,921.00,84240
09/06/19,912.50,915.00,900.00,900.00,116000
09/05/19,913.00,917.50,901.50,912.50,111590
09/04/19,904.50,917.00,898.00,915.00,109470
09/03/19,912.00,917.50,897.00,912.00,41820
09/02/19,910.00,915.00,885.50,910.00,80970
08/30/19,891.00,914.00,890.00,908.00,210620
08/29/19,868.00,890.00,865.00,890.00,169010
08/28/19,853.50,881.00,853.00,881.00,56800
08/27/19,860.00,866.50,851.00,853.50,276540
08/23/19,850.00,866.50,850.00,864.00,93980
08/22/19,874.00,874.50,850.00,856.50,274780
08/20/19,883.50,888.50,865.00,888.50,73420
08/19/19,870.00,884.00,852.50,884.00,119130
08/16/19,865.00,881.00,863.00,870.00,151840
08/15/19,849.50,875.00,830.00,864.50,117910
08/14/19,855.00,898.00,849.00,858.00,234250
08/13/19,882.00,882.00,850.00,855.00,107210
08/09/19,900.00,903.00,882.00,882.00,45740
08/08/19,909.50,918.00,885.00,900.00,80140
08/07/19,884.00,909.50,883.00,909.50,187720
08/06/19,892.00,898.00,872.00,887.00,200700
08/05/19,919.50,919.50,900.00,903.50,107380
08/02/19,920.00,928.50,898.00,928.50,119260
08/01/19,926.00,926.00,913.00,921.00,50240
07/31/19,953.00,953.00,927.00,927.00,86960
07/30/19,960.00,963.50,950.00,955.00,80030
07/29/19,965.00,968.00,941.00,967.00,91620
07/26/19,967.00,969.00,939.00,969.00,162730
07/25/19,924.00,972.00,908.50,972.00,147020
07/24/19,915.00,936.50,910.00,924.00,256130
07/23/19,910.00,929.00,909.50,924.00,124180
07/22/19,908.00,918.50,908.00,910.00,75940
07/19/19,930.00,935.00,917.50,920.00,74370
07/18/19,914.00,930.00,914.00,930.00,120300
07/17/19,915.00,922.50,910.00,910.50,49530
07/16/19,907.50,932.00,900.50,923.00,191200
07/15/19,900.00,910.00,895.00,908.00,128340
07/12/19,881.00,901.00,881.00,900.00,317720
07/11/19,850.00,877.00,850.00,875.00,152630
07/10/19,846.00,850.00,835.00,845.00,84920
07/09/19,840.00,858.00,840.00,846.00,112940
07/08/19,859.00,866.00,840.00,840.00,55180
07/05/19,878.00,878.00,855.00,855.00,65630
07/04/19,870.00,875.50,865.00,865.00,41270
07/03/19,861.00,893.50,856.00,869.00,107320
07/02/19,856.481,865.741,853.704,856.481,62402.4010733213
07/01/19,870.37,875.926,853.704,853.704,47865.6008232883
06/28/19,870.37,874.074,854.63,870.37,48243.6008297899
06/27/19,851.852,870.37,850.926,870.37,66592.8011453962
06/26/19,850.926,852.315,835.185,851.852,85384.8014686186
06/25/19,871.296,871.296,843.519,852.315,139017.602391103
06/24/19,887.963,887.963,871.296,871.296,82695.6014223644
06/21/19,879.63,889.815,863.889,889.815,201808.803471111
06/20/19,851.852,888.889,834.259,888.889,138888.002388874
06/19/19,805.556,851.852,805.556,851.852,220136.403786346
06/18/19,787.50,814.815,787.50,814.815,273596.404705858
06/17/19,810.185,814.352,787.50,787.50,38750.4006665069
06/14/19,811.574,814.815,798.611,810.185,110311.201897353
06/13/19,815.741,815.741,792.13,799.074,80697.6013879988
06/11/19,825.926,832.407,817.593,819.444,45997.2007911518
06/10/19,812.963,827.778,805.556,826.852,47174.4008113997
06/07/19,797.222,813.889,794.907,813.889,29019.6004991371
06/06/19,805.556,805.556,787.037,797.222,83494.8014361106
06/04/19,805.556,808.796,791.667,794.444,79779.6013722091
06/03/19,803.241,817.13,800.00,800.926,98096.4016872581
05/31/19,808.333,822.222,799.074,799.074,127396.802191225
05/30/19,810.185,820.37,805.556,807.407,55166.4009488621
05/29/19,800.926,814.815,800.926,807.407,50414.4008671277
05/28/19,833.333,833.333,799.537,799.537,339238.805834907
05/27/19,818.056,842.593,811.111,834.259,146664.002522621
05/24/19,819.444,819.444,796.296,818.056,82231.2014143767
05/23/19,814.815,825.463,803.704,819.444,90914.4015637277
05/22/19,803.704,814.815,787.963,814.815,71010.001221372
05/21/19,787.037,802.778,778.241,787.50,50770.8008732578
05/20/19,775.926,787.037,759.259,787.037,85989.6014790211
05/17/19,741.204,777.778,740.741,759.259,106736.401835866
05/16/19,739.352,744.907,737.963,741.204,130053.602236922
05/15/19,756.019,761.111,737.963,737.963,122644.802109491
05/14/19,785.185,785.185,750.463,754.63,204454.803516623
05/10/19,782.407,800.926,782.407,787.037,338925.60582952
05/09/19,796.296,799.074,782.407,782.407,421243.207245383
05/08/19,824.074,825.00,791.667,791.667,114004.801960883
05/07/19,823.148,839.352,809.722,832.407,68655.6011808764
05/06/19,828.704,831.019,810.185,822.222,90514.8015568546
05/03/19,812.963,831.481,812.037,824.074,445273.207658699
05/02/19,800.926,813.426,800.926,812.963,63266.4010881821
04/30/19,802.315,813.889,793.519,800.926,121575.6020911
04/29/19,800.926,824.074,796.296,800.926,465447.608005699
04/26/19,789.815,812.037,789.352,796.296,63061.2010846527
04/25/19,788.889,804.167,767.13,788.889,557820.009594504
04/24/19,787.037,801.389,785.185,787.963,56300.4009683669
04/23/19,793.056,793.056,787.037,787.037,61970.4010658909
04/22/19,798.148,798.611,789.352,793.056,463255.20796799
04/17/19,795.37,805.093,795.37,798.148,182800.803144174
04/16/19,807.407,810.185,789.815,794.907,175100.403011727
04/15/19,805.556,810.185,793.519,793.519,119642.402057849
04/12/19,808.333,817.13,801.852,805.556,49377.6008492947
04/11/19,833.333,833.796,801.852,801.852,181634.403124112
04/10/19,837.963,842.13,824.074,833.333,219596.403777058
04/08/19,830.556,837.963,819.907,823.611,125344.802155931
04/05/19,825.926,850.926,825.00,829.63,33760.8005806858
04/04/19,833.333,841.667,815.741,825.463,168145.202892098
04/03/19,824.074,840.278,824.074,833.333,89434.8015382786
04/02/19,849.074,849.074,819.444,824.074,134470.802312898
04/01/19,868.519,877.778,830.556,847.222,234716.404037122
03/29/19,906.481,908.333,862.50,862.50,235256.40404641
03/28/19,896.296,907.407,883.796,907.407,77403.6013313419
03/27/19,915.741,915.741,879.63,888.426,154062.002649866
03/26/19,934.259,945.37,912.50,918.519,103253.401775959
03/25/19,958.333,958.333,920.37,935.185,139282.202395654
03/22/19,952.778,962.963,950.00,962.963,106196.401826578
03/21/19,938.889,952.778,938.889,950.926,77430.6013318064
03/20/19,925.926,942.593,925.00,942.593,145497.602502559
03/19/19,927.778,927.778,921.759,925.926,75416.4012971621
03/18/19,921.296,925.926,909.259,921.296,255981.604402884
03/15/19,925.926,927.778,901.852,921.296,360444.606199647
03/14/19,919.444,929.63,910.185,925.926,167454.002880209
03/13/19,912.037,921.296,902.315,919.907,76928.4013231685
03/12/19,893.519,922.222,893.519,902.315,213775.203676934
03/11/19,919.444,919.444,888.889,893.519,168901.202905101
03/08/19,924.074,925.926,917.13,919.444,122623.202109119
03/07/19,912.963,924.074,905.556,924.074,56084.4009646517
03/06/19,868.519,903.704,865.278,902.778,138304.802378843
03/05/19,888.426,888.889,856.481,868.519,120495.602072524
03/04/19,867.593,885.185,861.574,875.00,90730.8015605698
03/01/19,870.37,895.833,851.852,861.111,204174.003511793
02/28/19,893.519,909.259,870.833,884.259,245905.20422957
02/27/19,925.00,939.815,882.87,884.259,115214.401981688
02/26/19,937.963,958.333,916.667,924.537,89380.8015373498
02/22/19,958.333,961.111,916.667,927.778,63131.4010858601
02/21/19,944.444,958.333,932.407,958.333,130491.002244445
02/20/19,925.926,949.074,925.926,943.519,89791.2015444087
02/19/19,925.926,934.259,924.074,925.926,91627.2015759879
02/18/19,916.667,930.556,914.815,925.926,134805.602318656
02/15/19,925.926,925.926,908.333,916.667,345389.405940698
02/14/19,981.481,981.481,944.444,944.444,85109.4014638817
02/13/19,990.741,990.741,961.111,970.37,143758.802472651
02/12/19,996.296,1000.926,974.074,990.741,112460.401934319
02/11/19,1013.889,1013.889,1000.00,1009.259,35013.6006022339
02/08/19,1009.259,1025.926,1009.259,1013.889,53551.800921091
02/07/19,1045.37,1045.37,1018.519,1018.519,141555.602434756
02/06/19,1037.037,1047.222,1032.407,1045.37,88765.2015267615
02/04/19,1024.074,1037.037,1000.00,1037.037,56943.0009794196
02/01/19,987.037,1036.111,987.037,1036.111,160390.802758722
01/31/19,945.37,988.889,945.37,987.963,114042.601961533
01/30/19,962.963,979.63,944.444,953.704,130161.60223878
01/29/19,958.333,970.37,951.852,962.963,143251.202463921
01/28/19,957.407,972.222,949.074,958.333,101239.201741314
01/25/19,962.963,971.296,944.444,944.444,46164.6007940311
01/24/19,947.222,971.296,941.667,962.963,78337.8013474102
01/23/19,958.333,962.037,930.556,962.037,66841.2011496687
01/22/19,962.037,967.593,946.296,967.593,71101.801222951
01/21/19,962.963,972.222,946.296,960.185,64713.6011130739
01/18/19,941.667,980.556,928.704,972.222,196160.403373959
01/17/19,925.926,942.593,925.926,942.593,113297.401948715
01/16/19,925.926,935.185,915.278,932.407,109090.801876362
01/15/19,928.704,928.704,910.185,916.667,118881.002044753
01/14/19,919.907,929.63,900.463,929.63,144039.602477481
01/11/19,944.444,944.444,916.667,924.537,115214.401981688
01/10/19,939.815,944.444,930.556,944.444,96757.2016642239
01/09/19,907.407,936.111,898.611,933.333,166330.80286089
01/08/19,913.889,925.926,890.278,890.278,45370.8007803778
01/07/19,921.296,944.444,912.963,912.963,120312.002069366
01/04/19,930.556,932.407,917.593,921.296,98949.6017019331
01/03/19,916.204,935.185,893.981,930.556,165391.202844729
01/02/19,902.778,916.204,885.185,916.204,15390.000264708
12/28/18,884.259,902.778,884.259,902.778,72608.4012488645
12/27/18,888.889,897.222,867.593,867.593,47077.2008097279
12/26/18,918.056,918.056,879.167,884.259,59032.8010153642
12/21/18,902.778,919.444,897.685,918.056,148316.402551042
12/20/18,884.259,920.833,872.685,919.444,120463.202071967
12/19/18,873.148,894.444,870.37,894.444,130852.802250668
12/18/18,842.593,873.148,842.593,873.148,39722.4006832253
12/17/18,879.63,879.63,851.852,851.852,59432.4010222373
12/14/18,887.037,887.037,874.537,881.944,77155.2013270694
12/13/18,872.222,888.426,872.222,888.426,40186.800691213
12/12/18,861.111,870.37,857.407,870.37,98442.0016932024
12/11/18,827.778,856.481,827.778,856.481,84866.4014597021
12/10/18,851.852,852.778,817.593,827.778,127375.202190853
12/07/18,878.704,888.889,851.852,851.852,58525.2010066335
12/06/18,902.315,902.778,870.37,870.37,195966.003370615
12/05/18,888.889,902.778,872.222,902.315,149774.40257612
12/04/18,854.63,899.074,854.63,899.074,322185.605541592
12/03/18,832.407,857.407,831.944,849.074,155174.402669
11/29/18,815.741,827.778,814.815,822.222,344952.005933174
