Date,Open,High,Low,Close,Volume
09/10/19,129.50,134.90,129.50,134.00,1194250
09/09/19,131.00,133.00,129.30,131.60,624390
09/06/19,129.90,131.00,127.60,131.00,670220
09/05/19,126.00,128.50,126.00,127.40,1470970
09/04/19,130.00,132.70,125.50,126.00,1851370
09/03/19,134.00,134.00,129.40,130.20,728810
09/02/19,135.70,135.70,133.00,133.50,293780
08/30/19,132.70,135.80,132.10,135.80,1854410
08/29/19,131.00,131.00,128.30,130.00,3071800
08/28/19,131.10,131.10,127.30,130.00,3862350
08/27/19,130.00,131.10,125.10,131.10,7070270
08/23/19,129.90,132.30,128.90,132.30,1657610
08/22/19,129.00,131.40,127.00,130.00,1856430
08/20/19,131.80,132.50,130.00,131.00,897960
08/19/19,129.00,131.50,128.20,131.50,1068050
08/16/19,124.00,129.20,124.00,128.50,1017040
08/15/19,124.00,125.90,121.00,124.00,2291130
08/14/19,125.90,130.00,123.90,127.50,1842080
08/13/19,127.40,130.50,120.00,120.00,2311550
08/09/19,130.00,133.90,125.50,125.50,1570540
08/08/19,127.90,134.50,127.90,130.00,3667380
08/07/19,123.10,126.80,123.10,126.00,3333630
08/06/19,123.90,124.50,122.60,122.90,3179130
08/05/19,129.70,130.90,124.60,124.60,2883850
08/02/19,133.10,133.90,129.10,129.70,1519510
08/01/19,134.90,135.40,132.10,135.00,1327560
07/31/19,135.00,135.90,129.90,135.00,1478420
07/30/19,129.30,135.00,129.30,135.00,1514890
07/29/19,132.00,134.00,128.20,129.00,886000
07/26/19,134.30,135.90,132.40,133.00,721990
07/25/19,136.00,137.30,134.10,137.00,1782170
07/24/19,135.30,138.00,131.80,135.00,1077580
07/23/19,139.80,139.80,135.00,135.00,1804140
07/22/19,139.50,143.50,137.60,137.70,751910
07/19/19,143.90,144.00,141.60,141.60,1293940
07/18/19,141.50,145.00,141.20,142.70,703080
07/17/19,143.20,147.00,141.40,141.40,862810
07/16/19,147.40,147.40,143.00,143.00,652590
07/15/19,141.30,147.60,141.30,147.60,1288060
07/12/19,143.00,144.70,142.80,143.60,1061600
07/11/19,143.80,143.80,138.10,142.90,1567140
07/10/19,141.70,143.00,138.00,142.50,1088400
07/09/19,141.50,143.50,141.50,142.00,1141540
07/08/19,143.20,144.70,142.20,142.20,1613800
07/05/19,145.90,146.00,144.00,144.70,348290
07/04/19,145.30,146.90,145.30,146.00,573300
07/03/19,146.00,146.90,144.70,146.50,1085240
07/02/19,144.00,146.40,143.60,146.40,1608570
07/01/19,146.00,146.40,143.50,144.50,671330
06/28/19,144.20,146.40,143.00,146.40,1228960
06/27/19,144.80,147.00,144.40,146.90,1492130
06/26/19,144.80,144.80,143.20,144.40,1264390
06/25/19,143.60,145.80,143.00,144.80,656780
06/24/19,143.70,147.00,143.50,143.50,1940500
06/21/19,144.00,146.80,143.50,144.30,4566410
06/20/19,145.10,147.30,143.30,144.00,1853880
06/19/19,147.60,147.70,145.70,146.50,1369910
06/18/19,143.10,147.80,143.10,147.80,1526510
06/17/19,146.70,147.40,144.70,144.70,1162500
06/14/19,146.00,148.00,142.50,148.00,1892720
06/13/19,148.00,148.90,145.00,148.50,4532200
06/11/19,140.00,146.30,139.90,144.00,3225260
06/10/19,137.50,139.90,136.00,139.90,2921390
06/07/19,136.50,138.00,136.00,137.50,1219190
06/06/19,136.00,137.00,134.90,136.00,1483460
06/04/19,134.90,135.80,134.00,134.90,2597920
06/03/19,136.90,136.90,134.00,134.50,3243470
05/31/19,136.00,137.20,134.80,136.00,2083810
05/30/19,136.00,137.00,135.10,135.90,1571580
05/29/19,135.50,137.70,133.80,134.00,1478260
05/28/19,136.00,138.00,135.00,137.30,13123760
05/27/19,134.30,136.90,134.30,135.90,1124860
05/24/19,135.40,136.00,134.30,134.90,2325740
05/23/19,136.00,137.90,135.40,136.00,1957170
05/22/19,135.40,138.90,135.40,136.00,1357810
05/21/19,138.50,139.90,135.10,135.20,1524340
05/20/19,139.50,142.50,138.00,139.50,1428030
05/17/19,137.10,142.70,135.10,139.90,3908240
05/16/19,142.00,146.00,134.50,134.50,3189410
05/15/19,136.90,144.50,136.70,141.50,2955180
05/14/19,133.50,137.80,133.00,136.20,6414720
05/10/19,133.60,134.10,129.90,133.00,1754930
05/09/19,133.00,134.90,129.30,131.00,4219190
05/08/19,138.50,138.50,131.50,135.00,2836710
05/07/19,128.00,137.90,128.00,136.40,2525040
05/06/19,137.00,137.00,128.00,128.00,2261200
05/03/19,131.70,137.90,130.90,136.70,2838170
05/02/19,127.70,133.00,127.70,131.90,4218080
04/30/19,124.00,126.50,124.00,126.50,2712430
04/29/19,125.20,125.60,124.00,125.60,759800
04/26/19,124.40,126.20,123.20,125.20,2036500
04/25/19,121.40,125.00,121.40,124.00,3219290
04/24/19,120.00,121.90,119.30,121.40,3486780
04/23/19,129.00,129.00,127.30,127.50,2461370
04/22/19,130.00,130.80,128.20,129.30,1172930
04/17/19,125.80,130.00,125.80,129.00,3741570
04/16/19,127.00,127.00,125.40,126.60,2110490
04/15/19,126.00,127.00,125.10,127.00,1276840
04/12/19,131.00,131.20,125.80,127.30,2476700
04/11/19,132.00,133.50,131.10,131.20,2272540
04/10/19,129.90,133.50,129.00,133.30,3870830
04/08/19,123.00,129.60,123.00,129.60,1209660
04/05/19,125.00,126.30,123.10,123.50,743170
04/04/19,128.00,128.40,122.60,123.80,1721900
04/03/19,130.00,130.00,128.20,129.40,851410
04/02/19,129.30,130.00,129.00,130.00,1091140
04/01/19,130.70,131.10,128.10,128.90,1601170
03/29/19,127.50,132.00,127.40,130.70,5065450
03/28/19,126.90,129.00,126.00,127.50,1783720
03/27/19,125.50,127.80,125.10,127.00,2560760
03/26/19,124.00,128.50,122.00,125.50,1615980
03/25/19,124.20,124.30,120.10,124.00,1574850
03/22/19,121.20,124.90,121.20,124.20,3041990
03/21/19,120.00,122.00,119.00,121.40,1271930
03/20/19,122.00,122.50,121.20,122.00,2703910
03/19/19,118.20,122.50,118.20,120.80,5042840
03/18/19,118.20,119.20,118.20,119.00,1470060
