Date,Open,High,Low,Close,Volume
09/10/19,71.10,72.90,71.10,72.90,2343440
09/09/19,71.00,72.80,71.00,72.00,264210
09/06/19,71.85,72.85,70.95,71.00,1837080
09/05/19,70.00,72.00,69.50,72.00,1040820
09/04/19,70.00,71.50,69.55,70.30,1434050
09/03/19,71.55,71.75,70.00,70.00,1153860
09/02/19,71.65,71.65,70.75,71.60,489100
08/30/19,70.65,71.95,70.20,71.95,3128970
08/29/19,68.85,70.50,67.90,70.50,2847500
08/28/19,66.45,68.90,66.45,68.90,1761170
08/27/19,68.60,68.60,66.05,66.45,5449210
08/23/19,67.40,68.80,65.65,68.80,2033770
08/22/19,66.80,67.50,65.30,67.50,1488350
08/20/19,67.15,67.20,65.80,67.15,1271880
08/19/19,64.95,67.40,63.70,67.40,2376080
08/16/19,66.40,66.40,63.50,63.50,1559450
08/15/19,63.50,66.50,62.45,66.50,1798350
08/14/19,65.40,65.60,63.55,65.60,1527210
08/13/19,63.00,65.60,61.05,65.60,2360120
08/09/19,65.80,65.90,63.05,63.05,966730
08/08/19,66.30,66.90,65.55,66.00,916560
08/07/19,65.25,66.30,64.80,66.00,1784260
08/06/19,66.75,66.75,64.05,65.00,2845190
08/05/19,69.00,69.00,66.90,67.50,2729930
08/02/19,66.85,69.50,65.25,69.50,1999510
08/01/19,65.30,67.30,65.00,67.25,1728340
07/31/19,67.50,67.80,65.05,65.25,1453370
07/30/19,66.10,67.50,65.30,67.50,1123980
07/29/19,66.05,66.95,65.15,66.95,455870
07/26/19,69.00,69.00,66.20,66.20,1087300
07/25/19,69.35,69.35,68.00,69.00,1261110
07/24/19,68.65,69.50,68.10,68.10,1106470
07/23/19,69.00,69.50,68.20,69.30,1521670
07/22/19,67.45,69.30,67.40,69.30,637520
07/19/19,69.85,69.90,68.45,68.45,928380
07/18/19,69.50,69.95,69.15,69.90,814500
07/17/19,69.95,70.05,69.30,69.50,867230
07/16/19,70.75,70.75,69.95,69.95,1327070
07/15/19,67.80,70.80,67.80,70.80,1296740
07/12/19,68.60,68.95,67.85,67.85,1260410
07/11/19,69.40,69.40,68.40,68.60,697080
07/10/19,68.90,69.70,67.30,69.70,928970
07/09/19,68.00,68.95,67.90,68.95,835990
07/08/19,68.30,68.50,67.45,68.50,447170
07/05/19,68.00,68.75,66.80,68.75,611960
07/04/19,67.75,67.85,65.85,66.95,1081050
07/03/19,68.50,68.65,67.10,67.50,1159510
07/02/19,67.30,68.50,66.95,68.50,1178920
07/01/19,67.05,67.30,65.20,67.30,486790
06/28/19,66.95,67.40,65.05,67.40,1341230
