Date,Open,High,Low,Close,Volume
09/10/19,14.80,14.90,14.38,14.40,801800
09/09/19,14.96,15.00,14.62,14.80,113700
09/06/19,15.26,15.26,14.94,15.00,1582300
09/05/19,14.76,15.46,14.62,15.24,5250700
09/04/19,14.62,14.78,14.62,14.76,3388400
09/03/19,14.70,14.78,14.58,14.62,387700
09/02/19,14.78,14.80,14.52,14.72,1444400
08/30/19,14.20,14.88,14.20,14.78,3515500
08/29/19,13.76,14.30,13.76,14.20,1991500
08/28/19,13.62,13.78,13.62,13.70,1311100
08/27/19,13.80,14.06,13.60,13.60,4711500
08/23/19,13.58,13.62,13.46,13.62,331700
08/22/19,13.54,13.68,13.40,13.54,2714300
08/20/19,13.50,13.68,13.44,13.50,2043400
08/19/19,13.50,13.88,13.50,13.50,1257800
08/16/19,14.06,14.06,13.50,13.50,1188200
08/15/19,14.06,14.16,13.60,14.00,1632100
08/14/19,14.38,14.38,14.18,14.18,946000
08/13/19,14.20,14.40,13.90,14.40,2197700
08/09/19,14.40,14.40,14.12,14.20,223800
08/08/19,14.40,14.40,14.26,14.30,1828700
08/07/19,14.18,14.50,14.18,14.40,1459300
08/06/19,14.66,14.66,14.12,14.16,1409700
08/05/19,14.40,14.70,14.30,14.70,1676500
08/02/19,14.16,14.38,14.16,14.38,614700
08/01/19,14.10,14.18,14.08,14.12,589500
07/31/19,14.26,14.26,14.08,14.10,1580600
07/30/19,14.80,14.80,14.10,14.24,3288600
07/29/19,14.96,14.96,14.62,14.88,2336300
07/26/19,14.58,14.98,14.48,14.68,2670600
07/25/19,15.12,15.12,14.58,14.58,6250600
07/24/19,15.08,15.12,15.06,15.08,1459500
07/23/19,15.02,15.80,15.02,15.20,2064700
07/22/19,15.28,15.32,15.02,15.02,1725300
07/19/19,15.88,15.88,15.20,15.26,2820700
07/18/19,15.94,15.98,15.64,15.64,1597000
07/17/19,15.96,16.18,15.94,15.94,1211800
07/16/19,16.06,16.40,15.96,15.96,5459700
07/15/19,15.76,16.30,15.70,16.00,3922000
07/12/19,15.70,15.80,15.62,15.76,2534300
07/11/19,15.58,15.72,15.46,15.70,534700
07/10/19,15.50,15.74,15.34,15.58,1626100
07/09/19,15.78,15.78,15.30,15.76,2787200
07/08/19,15.92,15.96,15.44,15.80,2441900
07/05/19,15.76,15.92,15.72,15.88,5098100
07/04/19,15.54,15.90,15.40,15.76,2779000
07/03/19,15.30,15.58,15.28,15.58,2970100
07/02/19,15.16,15.32,15.16,15.30,2533100
07/01/19,15.22,15.24,15.18,15.20,985700
06/28/19,15.28,15.30,15.18,15.20,4169700
06/27/19,15.28,15.32,15.22,15.28,2320700
06/26/19,15.20,15.32,15.18,15.20,1387100
06/25/19,15.14,15.32,15.14,15.20,1399100
06/24/19,15.36,15.36,15.14,15.24,413600
06/21/19,15.26,15.38,15.12,15.12,3238500
06/20/19,15.28,15.30,15.18,15.26,891200
06/19/19,15.20,15.46,15.20,15.28,361400
06/18/19,15.22,15.40,15.18,15.20,593800
06/17/19,15.30,15.40,15.22,15.40,4583000
06/14/19,15.32,15.34,15.22,15.30,3202600
06/13/19,15.60,15.60,15.20,15.48,453800
06/11/19,15.58,15.64,15.50,15.54,2774100
06/10/19,15.40,15.58,15.40,15.52,381500
06/07/19,15.10,15.48,15.04,15.38,1438500
06/06/19,15.10,15.24,15.08,15.10,4720300
06/04/19,15.20,15.20,15.08,15.08,1060800
06/03/19,15.26,15.30,15.00,15.20,2744500
05/31/19,15.26,15.26,14.94,14.94,304300
05/30/19,14.72,15.34,14.72,14.92,5595300
05/29/19,14.98,15.00,14.68,14.72,11685600
05/28/19,15.30,15.30,15.02,15.02,3777100
05/27/19,15.10,15.40,14.96,15.10,6002200
05/24/19,15.76,15.76,15.08,15.10,10079200
05/23/19,16.36,16.48,15.80,15.86,4291500
05/22/19,16.36,16.50,16.30,16.40,2628000
05/21/19,16.22,16.46,16.22,16.36,2028200
05/20/19,16.92,16.92,16.20,16.22,3330000
05/17/19,16.60,16.96,16.38,16.94,1698200
05/16/19,16.96,16.96,16.42,16.52,1038800
05/15/19,16.88,17.20,16.70,16.84,1525300
05/14/19,16.90,16.90,16.32,16.90,2732700
05/10/19,16.72,16.92,16.32,16.92,690300
05/09/19,17.00,17.00,16.50,16.88,6664700
05/08/19,17.10,17.10,16.54,17.00,1543300
05/07/19,16.62,17.00,16.26,17.00,2832800
05/06/19,16.50,16.78,16.02,16.62,2532000
05/03/19,16.00,16.62,16.00,16.50,1532000
05/02/19,15.90,16.24,15.82,15.82,2615000
04/30/19,16.00,16.22,15.84,16.04,3191900
04/29/19,16.00,16.00,15.72,16.00,876600
04/26/19,16.08,16.08,15.60,16.02,752600
04/25/19,15.80,16.00,15.50,16.00,1888300
04/24/19,15.88,15.88,15.50,15.80,992700
04/23/19,16.00,16.28,15.80,16.28,525800
04/22/19,15.38,16.20,15.38,16.00,1443800
04/17/19,15.50,15.60,15.22,15.44,301700
04/16/19,15.64,15.90,15.48,15.50,3544800
04/15/19,16.14,16.26,15.62,15.62,4610500
04/12/19,16.60,16.60,16.00,16.30,1573800
04/11/19,16.86,16.88,16.60,16.60,1453900
04/10/19,16.78,16.88,16.70,16.70,1680100
04/08/19,16.54,16.80,16.54,16.80,1261700
04/05/19,16.10,16.52,16.10,16.50,5178200
04/04/19,16.00,16.36,15.90,16.04,11483200
04/03/19,16.00,16.06,15.92,16.00,4634600
04/02/19,15.72,16.10,15.72,15.90,2316200
04/01/19,16.20,16.20,15.58,15.70,3295300
03/29/19,16.40,16.40,15.90,16.10,3006700
03/28/19,16.48,16.52,16.36,16.46,1068000
03/27/19,16.52,16.62,16.18,16.50,1173800
03/26/19,16.52,16.80,16.52,16.52,2129300
03/25/19,17.28,17.28,16.44,16.50,2977600
03/22/19,17.30,17.60,17.10,17.28,6262200
03/21/19,16.52,17.42,16.52,17.30,8621500
03/20/19,16.00,16.64,16.00,16.52,5071200
03/19/19,16.44,16.46,15.82,16.00,4064700
03/18/19,16.02,16.42,16.02,16.28,1411700
03/15/19,16.64,16.74,16.00,16.00,4746400
03/14/19,16.52,16.88,16.30,16.62,7835900
03/13/19,16.42,16.58,16.32,16.52,7674000
03/12/19,16.12,16.82,16.12,16.42,2676800
03/11/19,15.84,16.30,15.80,16.30,2051700
03/08/19,15.60,15.80,15.32,15.80,2482700
