Date,Open,High,Low,Close,Volume
09/10/19,70.25,70.25,69.80,69.95,4143580
09/09/19,70.15,70.40,70.10,70.15,1892170
09/06/19,70.50,70.55,70.10,70.10,1880950
09/05/19,70.20,70.60,70.00,70.00,3994350
09/04/19,70.55,70.85,69.80,70.05,2166550
09/03/19,70.50,71.10,70.50,70.50,2049550
09/02/19,71.50,71.50,70.50,70.50,2290860
08/30/19,71.25,72.75,70.90,70.90,3036880
08/29/19,71.80,71.80,70.55,70.55,2756090
08/28/19,70.70,72.10,70.60,71.80,3692090
08/27/19,72.00,72.00,70.65,70.65,4091830
08/23/19,71.65,72.00,70.30,72.00,1152240
08/22/19,71.15,71.65,70.40,71.65,4079580
08/20/19,71.50,72.00,71.05,71.15,890330
08/19/19,70.05,71.50,70.00,71.50,3311400
08/16/19,70.00,71.40,69.70,69.70,3241880
08/15/19,70.00,71.30,69.10,70.00,2757830
08/14/19,71.95,71.95,70.30,70.30,3891110
08/13/19,71.75,72.25,70.00,70.40,3121750
08/09/19,71.80,72.15,71.75,71.75,2458870
08/08/19,72.50,72.50,71.50,71.70,3295070
08/07/19,71.00,72.20,71.00,72.00,2463680
08/06/19,71.85,71.85,70.50,70.50,4864010
08/05/19,74.60,74.60,72.00,72.00,3818530
08/02/19,75.00,75.75,74.10,75.00,3402290
08/01/19,75.75,76.80,75.00,75.00,4234190
07/31/19,76.00,76.10,75.35,75.75,2224570
07/30/19,75.30,76.10,75.30,75.90,2336630
07/29/19,75.50,75.80,75.15,75.25,1204640
07/26/19,75.50,76.00,74.90,75.00,3561550
07/25/19,74.95,75.50,74.15,75.50,1853550
07/24/19,76.00,76.05,74.85,75.00,1946810
07/23/19,77.20,77.20,75.50,76.05,1948490
07/22/19,76.85,77.90,76.75,77.30,1623070
07/19/19,77.55,78.20,77.50,78.00,3192490
07/18/19,77.00,78.50,76.85,77.40,2207680
07/17/19,77.45,77.45,76.50,77.00,1810610
07/16/19,76.80,79.15,75.90,77.90,6524570
07/15/19,73.00,77.00,73.00,77.00,7579900
07/12/19,72.20,73.60,72.20,72.90,2805870
07/11/19,72.20,72.30,71.85,72.00,1972090
07/10/19,71.40,72.00,71.30,71.50,5808700
07/09/19,71.60,71.90,71.40,71.40,2231630
07/08/19,71.75,72.00,71.00,71.60,2669740
07/05/19,71.90,72.35,71.70,71.75,2683230
07/04/19,72.05,72.35,71.50,71.80,1773100
07/03/19,72.65,72.65,71.50,71.50,3208920
07/02/19,72.50,72.85,72.10,72.40,1264240
07/01/19,72.45,72.50,71.90,72.00,1942640
06/28/19,72.00,72.75,71.25,71.25,2089620
06/27/19,72.00,72.45,71.95,71.95,2280580
06/26/19,73.00,73.00,71.80,72.00,1531280
06/25/19,74.40,74.45,72.15,73.00,2725710
06/24/19,74.60,75.40,73.50,73.50,2262750
06/21/19,75.00,75.05,73.50,74.60,5091210
06/20/19,74.30,75.50,73.75,75.00,3699440
06/19/19,72.80,74.40,72.70,74.25,5793900
06/18/19,72.00,73.00,71.60,72.60,9533510
06/17/19,72.30,72.30,71.60,71.60,991220
06/14/19,72.00,72.50,71.10,72.30,1905080
06/13/19,71.55,72.60,71.00,71.00,1942530
06/11/19,71.55,72.45,71.50,71.50,3650690
06/10/19,70.95,72.50,70.95,71.25,1178760
06/07/19,70.65,71.15,70.55,70.95,821680
06/06/19,71.00,71.30,70.30,70.45,4116590
06/04/19,72.70,72.95,70.60,70.60,2394850
06/03/19,72.10,73.80,72.00,72.95,3748160
05/31/19,72.00,72.95,71.75,71.75,2302840
05/30/19,71.80,72.55,71.80,72.00,2163570
05/29/19,72.95,73.20,71.80,72.00,1853340
05/28/19,72.00,72.65,71.50,72.50,6570570
05/27/19,72.00,72.95,71.80,71.80,4835460
05/24/19,72.00,72.00,70.80,72.00,2015680
05/23/19,74.30,74.30,72.00,72.00,1843930
05/22/19,74.30,74.50,73.45,74.30,1830800
05/21/19,75.30,75.30,74.00,74.50,954030
05/20/19,73.00,75.50,72.90,75.50,955290
05/17/19,71.05,73.90,71.05,73.00,3163070
05/16/19,71.00,71.70,70.45,70.60,2751340
05/15/19,72.10,74.95,70.70,70.70,2451250
05/14/19,72.10,72.45,71.50,72.00,4126480
05/10/19,72.70,73.20,72.50,72.50,1892260
05/09/19,73.80,73.80,72.60,72.60,5877890
05/08/19,73.50,74.10,72.50,74.10,2407690
05/07/19,72.50,74.45,72.50,73.85,2283000
05/06/19,73.50,73.65,72.05,72.85,2946850
05/03/19,75.25,76.00,74.00,74.00,7542560
05/02/19,74.20,75.15,74.10,74.50,2433280
04/30/19,76.00,76.50,74.25,74.25,4247930
04/29/19,75.75,76.85,75.50,76.00,2790080
04/26/19,76.55,76.80,75.20,75.75,3452900
