Date,Open,High,Low,Close,Volume
09/10/19,5.17,5.18,5.03,5.03,11628800
09/09/19,5.19,5.23,5.13,5.18,3397900
09/06/19,5.25,5.26,5.19,5.19,20366900
09/05/19,5.30,5.30,5.14,5.18,61452301
09/04/19,5.10,5.10,4.90,5.02,28309199
09/03/19,5.10,5.20,5.04,5.10,31125000
09/02/19,5.14,5.15,5.03,5.10,25477699
08/30/19,5.05,5.20,5.05,5.13,76562602
08/29/19,5.06,5.09,5.01,5.01,36408801
08/28/19,4.87,5.03,4.82,5.01,70198000
08/27/19,4.83,4.90,4.75,4.81,79163000
08/23/19,4.85,4.93,4.74,4.80,61611000
08/22/19,5.15,5.15,4.80,4.84,120639906
08/20/19,5.30,5.34,5.25,5.29,20392699
08/19/19,5.30,5.35,5.08,5.29,38087602
08/16/19,5.39,5.40,5.29,5.29,28555199
08/15/19,5.20,5.39,5.00,5.39,73685695
08/14/19,5.47,5.47,5.26,5.28,58171602
08/13/19,5.60,5.60,5.25,5.40,114634203
08/09/19,5.75,5.83,5.60,5.70,44431699
08/08/19,6.14,6.14,5.75,5.75,64539699
08/07/19,6.02,6.16,6.00,6.11,11605900
08/06/19,5.93,6.06,5.84,5.98,39822000
08/05/19,6.22,6.22,5.98,5.98,36400898
08/02/19,6.14,6.24,6.06,6.24,11131900
08/01/19,6.07,6.15,6.02,6.15,26771699
07/31/19,6.30,6.30,6.08,6.12,17032199
07/30/19,6.20,6.30,6.10,6.30,10075000
07/29/19,6.24,6.24,6.12,6.20,7244300
07/26/19,6.30,6.30,6.24,6.25,9146600
07/25/19,6.26,6.35,6.25,6.30,17304199
07/24/19,6.29,6.37,6.25,6.25,11078600
07/23/19,6.35,6.45,6.33,6.36,14263700
07/22/19,6.35,6.45,6.30,6.35,19147400
07/19/19,6.25,6.44,6.25,6.44,22220100
07/18/19,6.25,6.36,6.24,6.25,9037300
07/17/19,6.29,6.40,6.25,6.25,12061000
07/16/19,6.50,6.50,6.29,6.29,20410900
07/15/19,6.30,6.54,6.26,6.50,36601602
07/12/19,6.16,6.30,6.11,6.30,31041100
