Date,Open,High,Low,Close,Volume
09/10/19,5.15,5.16,5.05,5.11,13307500
09/09/19,5.20,5.21,5.11,5.16,14797900
09/06/19,5.26,5.28,5.15,5.20,28161301
09/05/19,5.12,5.28,5.12,5.23,109882000
09/04/19,4.91,4.99,4.85,4.99,16576000
09/03/19,4.98,4.99,4.87,4.90,6113000
09/02/19,4.95,5.02,4.92,4.98,16431000
08/30/19,4.89,5.00,4.87,4.95,44553000
08/29/19,4.85,4.87,4.77,4.83,25579000
08/28/19,4.90,4.92,4.83,4.84,36954000
08/27/19,4.98,4.99,4.80,4.87,43717000
08/23/19,5.05,5.07,4.90,4.98,24356801
08/22/19,5.00,5.24,4.99,5.05,48730898
08/20/19,5.09,5.09,4.96,5.00,46476602
08/19/19,4.80,5.14,4.78,5.10,103207000
08/16/19,4.64,4.80,4.57,4.80,39006000
08/15/19,4.47,4.65,4.37,4.63,22889000
08/14/19,4.60,4.69,4.50,4.50,13427000
08/13/19,4.64,4.64,4.47,4.60,19168000
08/09/19,4.73,4.75,4.61,4.61,9504000
08/08/19,4.60,4.79,4.60,4.76,14282000
08/07/19,4.58,4.65,4.53,4.64,13142000
08/06/19,4.58,4.64,4.47,4.60,32549000
08/05/19,4.80,4.80,4.59,4.60,35212000
08/02/19,4.78,4.80,4.71,4.80,19608000
08/01/19,4.80,4.81,4.72,4.78,15169000
07/31/19,4.82,4.83,4.78,4.80,13944000
07/30/19,4.79,4.86,4.78,4.81,26771000
07/29/19,4.75,4.80,4.70,4.78,15537000
07/26/19,4.79,4.80,4.72,4.75,13368000
07/25/19,4.79,4.80,4.71,4.80,16996000
07/24/19,4.77,4.80,4.77,4.79,10486000
07/23/19,4.79,4.80,4.75,4.80,12312000
07/22/19,4.72,4.79,4.71,4.79,7750000
07/19/19,4.77,4.79,4.71,4.79,24044000
07/18/19,4.75,4.76,4.72,4.75,10601000
07/17/19,4.70,4.76,4.70,4.74,11256000
07/16/19,4.81,4.82,4.67,4.67,40657000
07/15/19,4.79,4.83,4.77,4.80,17509000
07/12/19,4.82,4.86,4.78,4.78,41149000
07/11/19,4.80,4.83,4.79,4.80,16183000
07/10/19,4.77,4.82,4.75,4.80,25685000
07/09/19,4.78,4.78,4.72,4.78,24348000
07/08/19,4.78,4.79,4.74,4.78,18382000
07/05/19,4.80,4.82,4.74,4.78,14644000
07/04/19,4.87,4.87,4.80,4.80,17697000
07/03/19,4.86,4.88,4.85,4.87,19052000
07/02/19,4.86,4.86,4.82,4.85,16003000
07/01/19,4.80,4.87,4.80,4.84,17133000
06/28/19,4.82,4.82,4.77,4.80,29890000
06/27/19,4.83,4.83,4.77,4.81,15722000
06/26/19,4.84,4.84,4.78,4.83,12399000
06/25/19,4.88,4.89,4.80,4.84,31480000
06/24/19,4.78,4.88,4.78,4.86,45499000
06/21/19,4.78,4.87,4.76,4.77,93371000
06/20/19,4.59,4.77,4.56,4.72,37685000
06/19/19,4.59,4.59,4.52,4.58,6462000
06/18/19,4.60,4.60,4.54,4.56,14992000
06/17/19,4.63,4.64,4.58,4.58,10668000
06/14/19,4.67,4.67,4.55,4.58,13009000
06/13/19,4.65,4.69,4.60,4.65,18703000
06/11/19,4.56,4.69,4.56,4.64,26605000
06/10/19,4.49,4.56,4.47,4.56,31184000
06/07/19,4.43,4.46,4.37,4.45,13261000
06/06/19,4.49,4.55,4.36,4.43,33470000
06/04/19,4.60,4.60,4.47,4.48,25267000
06/03/19,4.48,4.58,4.40,4.55,42095000
05/31/19,4.44,4.50,4.35,4.50,23475000
05/30/19,4.34,4.48,4.34,4.44,20216000
05/29/19,4.33,4.43,4.31,4.33,15908000
05/28/19,4.30,4.41,4.27,4.32,96675000
05/27/19,4.32,4.33,4.28,4.30,5180000
05/24/19,4.36,4.37,4.30,4.32,9265000
05/23/19,4.44,4.44,4.33,4.36,14737000
05/22/19,4.36,4.49,4.30,4.44,28965000
05/21/19,4.34,4.38,4.32,4.34,18631000
05/20/19,4.25,4.33,4.25,4.33,9243000
05/17/19,4.21,4.30,4.21,4.25,24343000
05/16/19,4.20,4.21,4.19,4.20,65488000
05/15/19,4.20,4.25,4.20,4.20,10549000
05/14/19,4.26,4.27,4.11,4.17,28419000
05/10/19,4.23,4.30,4.23,4.29,9973000
05/09/19,4.26,4.28,4.20,4.20,38118000
05/08/19,4.29,4.32,4.22,4.23,28381000
05/07/19,4.32,4.39,4.28,4.29,15341000
05/06/19,4.40,4.43,4.22,4.25,43601000
05/03/19,4.43,4.51,4.35,4.35,37814000
05/02/19,4.59,4.59,4.35,4.39,31883000
04/30/19,4.57,4.57,4.50,4.57,15898000
04/29/19,4.57,4.57,4.50,4.57,27132000
04/26/19,4.46,4.57,4.44,4.57,13938000
04/25/19,4.40,4.47,4.40,4.44,23351000
04/24/19,4.44,4.47,4.33,4.40,55146000
04/23/19,4.49,4.49,4.41,4.41,28913000
04/22/19,4.52,4.54,4.43,4.46,15702000
04/17/19,4.47,4.50,4.43,4.48,33651000
04/16/19,4.56,4.58,4.43,4.45,71717000
04/15/19,4.62,4.66,4.55,4.55,19162000
04/12/19,4.69,4.70,4.60,4.60,16220000
04/11/19,4.70,4.71,4.66,4.69,15424000
04/10/19,4.74,4.75,4.67,4.70,13794000
04/08/19,4.60,4.74,4.60,4.70,23464000
04/05/19,4.56,4.65,4.56,4.58,33586000
04/04/19,4.67,4.71,4.54,4.55,45158000
04/03/19,4.72,4.74,4.64,4.67,26008000
04/02/19,4.73,4.79,4.69,4.71,17874000
04/01/19,4.85,4.85,4.70,4.71,29455000
03/29/19,4.79,4.86,4.77,4.85,30553000
03/28/19,4.74,4.80,4.71,4.79,26995000
03/27/19,4.83,4.83,4.71,4.72,25867000
03/26/19,4.84,4.86,4.79,4.84,13087000
03/25/19,4.91,4.91,4.73,4.85,21668000
03/22/19,4.87,4.96,4.86,4.92,35504000
03/21/19,4.87,4.94,4.85,4.86,20339000
03/20/19,4.90,4.91,4.85,4.86,12348000
03/19/19,4.91,4.96,4.91,4.92,10790000
03/18/19,4.94,4.95,4.86,4.90,18302000
03/15/19,4.90,4.94,4.85,4.94,99172000
03/14/19,4.94,4.94,4.90,4.90,19121000
03/13/19,4.94,4.97,4.89,4.94,9304000
03/12/19,4.87,4.95,4.87,4.94,10778000
03/11/19,4.92,4.97,4.85,4.85,11838000
03/08/19,4.97,4.97,4.91,4.92,14307000
03/07/19,4.98,5.08,4.96,4.98,45908000
03/06/19,4.76,5.04,4.76,4.96,92588000
03/05/19,4.60,4.69,4.60,4.69,14730000
03/04/19,4.57,4.63,4.55,4.57,11944000
03/01/19,4.76,4.80,4.55,4.57,40047000
02/28/19,4.87,4.87,4.70,4.70,38149000
02/27/19,4.89,4.89,4.85,4.87,4801000
02/26/19,4.83,4.90,4.83,4.89,14074000
02/22/19,4.77,4.83,4.75,4.78,5308000
02/21/19,4.80,4.84,4.76,4.76,16850000
02/20/19,4.75,4.81,4.72,4.76,13683000
02/19/19,4.84,4.86,4.70,4.70,13194000
02/18/19,4.80,4.90,4.80,4.83,3497000
02/15/19,4.90,4.91,4.79,4.79,8137000
02/14/19,4.87,4.91,4.83,4.90,25725000
02/13/19,4.89,4.91,4.84,4.85,18120000
02/12/19,4.95,4.96,4.88,4.88,21842000
02/11/19,4.95,4.96,4.91,4.93,10199000
02/08/19,4.94,4.96,4.91,4.91,11335000
02/07/19,4.96,4.98,4.93,4.94,10161000
02/06/19,4.94,4.97,4.92,4.95,16550000
02/04/19,4.89,4.93,4.85,4.89,9349000
02/01/19,4.87,4.95,4.85,4.86,14866000
01/31/19,4.94,4.99,4.86,4.86,25155000
01/30/19,4.95,4.95,4.85,4.93,18184000
01/29/19,4.91,4.95,4.91,4.94,34864000
