Date,Open,High,Low,Close,Volume
09/10/19,5.15,5.16,5.11,5.11,599600
09/09/19,5.10,5.15,5.10,5.13,402700
09/06/19,5.09,5.16,5.09,5.10,1946100
09/05/19,5.12,5.13,5.06,5.09,904500
09/04/19,5.07,5.12,5.06,5.12,720100
09/03/19,5.02,5.09,5.02,5.06,505900
09/02/19,5.10,5.17,5.02,5.02,3194900
08/30/19,5.19,5.20,5.09,5.09,1898500
08/29/19,5.18,5.20,5.13,5.19,392600
08/28/19,5.14,5.16,5.10,5.13,466800
08/27/19,5.12,5.15,5.09,5.13,664400
08/23/19,5.27,5.27,5.11,5.11,2307800
08/22/19,5.40,5.41,5.20,5.20,1148500
08/20/19,5.30,5.41,5.29,5.40,2102700
08/19/19,5.17,5.30,5.14,5.30,1504600
08/16/19,5.03,5.23,5.02,5.14,575400
08/15/19,5.08,5.09,5.01,5.03,1393200
08/14/19,5.10,5.16,5.09,5.11,796100
08/13/19,5.21,5.25,5.10,5.10,3003700
08/09/19,5.35,5.35,5.21,5.22,2883900
08/08/19,5.35,5.37,5.31,5.35,1435800
08/07/19,5.36,5.37,5.25,5.35,1839900
08/06/19,5.41,5.42,5.30,5.36,1865100
08/05/19,5.51,5.56,5.41,5.42,2614300
08/02/19,5.53,5.55,5.45,5.48,3562100
08/01/19,5.55,5.56,5.50,5.53,1135300
07/31/19,5.58,5.61,5.54,5.54,1296300
07/30/19,5.59,5.65,5.58,5.58,778700
07/29/19,5.61,5.65,5.59,5.59,651800
07/26/19,5.65,5.65,5.59,5.60,1252000
07/25/19,5.65,5.66,5.60,5.60,4041000
07/24/19,5.71,5.74,5.63,5.63,6881000
07/23/19,5.68,5.76,5.68,5.71,1361700
07/22/19,5.71,5.78,5.62,5.64,5217700
07/19/19,5.83,5.84,5.66,5.68,4762900
07/18/19,5.85,5.90,5.81,5.81,1384700
07/17/19,5.85,5.92,5.81,5.85,1251200
07/16/19,5.80,5.92,5.79,5.85,3922400
07/15/19,5.62,5.80,5.61,5.77,739000
07/12/19,5.70,5.70,5.61,5.61,5343400
07/11/19,5.80,5.84,5.62,5.69,3406000
07/10/19,5.90,5.90,5.76,5.80,2721100
07/09/19,5.90,5.95,5.87,5.90,1821800
07/08/19,5.90,5.92,5.89,5.90,2171300
07/05/19,5.90,5.95,5.86,5.87,1515500
07/04/19,5.96,5.96,5.88,5.89,2091600
07/03/19,5.96,5.97,5.93,5.95,557300
07/02/19,5.84,5.95,5.84,5.93,631400
07/01/19,5.83,5.93,5.82,5.83,742500
06/28/19,5.89,5.94,5.82,5.82,980300
06/27/19,5.95,5.95,5.87,5.88,1626600
06/26/19,5.95,5.98,5.90,5.93,1642000
06/25/19,6.00,6.02,5.95,5.95,1144300
06/24/19,5.94,6.01,5.92,6.00,1621500
06/21/19,5.95,5.99,5.92,5.92,830300
06/20/19,5.94,5.95,5.88,5.92,1810400
06/19/19,5.91,5.97,5.91,5.92,1669200
06/18/19,5.92,5.96,5.91,5.91,1467200
06/17/19,6.06,6.06,5.91,5.91,2088200
06/14/19,6.05,6.10,6.03,6.04,850200
06/13/19,6.18,6.19,6.05,6.05,1560300
06/11/19,6.11,6.20,6.10,6.18,1521800
06/10/19,6.07,6.10,6.05,6.10,964900
06/07/19,6.05,6.10,6.04,6.08,456800
06/06/19,6.11,6.11,6.05,6.05,912400
06/04/19,6.12,6.16,6.07,6.08,945200
06/03/19,6.12,6.16,6.06,6.12,1666000
05/31/19,6.13,6.27,6.07,6.12,3746300
05/30/19,6.07,6.13,6.07,6.12,706100
05/29/19,6.18,6.18,6.07,6.07,503200
05/28/19,6.10,6.27,5.97,6.27,10687900
05/27/19,6.08,6.16,6.08,6.08,1923000
05/24/19,6.12,6.12,5.93,6.08,2491400
05/23/19,5.95,6.15,5.95,6.13,4707300
05/22/19,5.80,6.06,5.80,5.94,10116000
05/21/19,5.43,5.81,5.43,5.70,3058300
05/20/19,5.56,5.59,5.40,5.41,8910500
05/17/19,5.60,5.72,5.51,5.52,3980300
05/16/19,5.95,5.98,5.57,5.57,7003200
05/15/19,6.00,6.00,5.95,5.95,2484800
05/14/19,6.00,6.09,5.90,5.99,3884100
05/10/19,6.01,6.02,5.93,5.99,2535600
05/09/19,6.05,6.10,5.99,6.01,2184900
05/08/19,6.20,6.22,5.94,6.04,9604500
05/07/19,6.30,6.43,6.25,6.25,2087600
05/06/19,6.38,6.45,6.28,6.28,2893600
05/03/19,6.33,6.44,6.33,6.40,1773500
05/02/19,6.30,6.38,6.25,6.31,1255900
04/30/19,6.38,6.38,6.20,6.20,2385200
04/29/19,6.22,6.43,6.12,6.41,3898200
04/26/19,6.35,6.35,6.20,6.21,3719800
04/25/19,6.41,6.41,6.31,6.32,1793600
04/24/19,6.40,6.42,6.37,6.38,2480300
04/23/19,6.47,6.47,6.40,6.41,2021100
04/22/19,6.57,6.57,6.47,6.48,555000
04/17/19,6.47,6.59,6.45,6.54,1748400
04/16/19,6.53,6.53,6.46,6.47,1581900
04/15/19,6.45,6.56,6.42,6.48,1171800
04/12/19,6.47,6.50,6.42,6.42,1825400
04/11/19,6.44,6.50,6.41,6.41,1183800
04/10/19,6.40,6.48,6.40,6.40,1658900
04/08/19,6.37,6.43,6.37,6.39,1103300
04/05/19,6.38,6.43,6.37,6.37,1861400
04/04/19,6.42,6.49,6.37,6.37,1907700
04/03/19,6.41,6.44,6.40,6.42,749700
04/02/19,6.42,6.45,6.39,6.40,912500
04/01/19,6.49,6.50,6.37,6.42,821900
03/29/19,6.50,6.50,6.38,6.49,5648900
