Date,Open,High,Low,Close,Volume
09/10/19,23.20,23.40,22.95,23.40,1379600
09/09/19,23.40,23.40,23.00,23.15,129800
09/06/19,22.80,23.35,22.50,23.35,410500
09/05/19,23.00,23.00,22.60,22.80,514700
09/04/19,23.10,23.25,22.80,23.05,240000
09/03/19,23.00,23.10,22.90,23.00,433600
09/02/19,23.25,23.25,22.95,23.00,1397400
08/30/19,23.10,23.20,22.95,23.20,1707300
08/29/19,23.00,23.10,22.90,23.00,697700
08/28/19,22.90,23.00,22.75,23.00,432400
08/27/19,22.65,22.90,22.10,22.90,601200
08/23/19,22.80,22.95,22.50,22.65,297000
08/22/19,22.40,23.00,22.40,22.80,523500
08/20/19,23.00,23.00,22.50,22.95,228700
08/19/19,22.35,23.00,22.35,23.00,1283500
08/16/19,22.15,22.65,22.15,22.30,665700
08/15/19,22.10,22.70,21.90,22.70,789300
08/14/19,23.00,23.00,22.45,22.90,1099500
08/13/19,22.80,23.50,21.55,23.50,1623400
08/09/19,22.45,22.90,22.20,22.90,900800
08/08/19,22.45,22.45,22.00,22.40,2191000
08/07/19,22.55,22.55,22.30,22.45,601700
08/06/19,22.95,22.95,22.10,22.55,986500
08/05/19,23.15,23.15,22.50,23.00,1011200
08/02/19,23.00,23.15,22.40,23.15,555700
08/01/19,22.90,23.45,22.80,23.00,1380500
07/31/19,23.25,23.45,22.80,23.00,1374800
07/30/19,24.20,24.20,23.00,23.30,17617301
07/29/19,23.80,24.20,23.45,23.90,1517600
07/26/19,24.50,24.50,23.50,23.80,1789300
07/25/19,24.55,24.80,24.20,24.55,3150000
07/24/19,24.55,24.60,24.40,24.55,3472100
07/23/19,24.15,24.70,24.15,24.55,2567800
07/22/19,24.00,24.10,23.80,24.10,1223000
07/19/19,23.75,24.15,23.75,24.00,3599400
07/18/19,23.50,23.80,23.35,23.75,1162100
07/17/19,23.90,23.90,23.35,23.50,1421500
07/16/19,22.80,23.95,22.80,23.95,4117200
07/15/19,22.55,22.90,22.55,22.80,837400
07/12/19,22.35,22.90,22.35,22.50,1477000
07/11/19,23.15,23.15,22.30,22.30,2051300
07/10/19,23.25,23.25,22.75,23.00,1385000
07/09/19,23.15,23.25,22.70,23.25,942600
07/08/19,22.75,23.15,22.50,22.80,733900
07/05/19,22.80,23.10,22.50,22.70,1119400
07/04/19,23.30,23.30,22.75,22.80,542700
07/03/19,23.70,23.75,23.00,23.00,1117600
07/02/19,23.70,23.75,23.20,23.70,1010100
07/01/19,23.20,23.70,23.20,23.45,1201500
06/28/19,22.90,23.20,22.90,23.15,1017600
