Date,Open,High,Low,Close,Volume
09/10/19,1028.00,1028.00,1012.00,1015.00,672070
09/09/19,1048.00,1048.00,1022.00,1030.00,99830
09/06/19,1028.00,1048.00,1026.00,1048.00,1047880
09/05/19,1027.00,1033.00,1012.00,1031.00,526530
09/04/19,1005.00,1032.00,997.00,1032.00,223630
09/03/19,1013.00,1035.00,994.00,994.00,196520
09/02/19,1018.00,1026.00,1014.00,1019.00,142645
08/30/19,1027.00,1037.00,1007.00,1026.00,541565
08/29/19,1008.00,1025.00,990.00,1020.00,248585
08/28/19,992.00,1007.00,985.50,1007.00,302150
08/27/19,990.00,1000.00,985.50,988.00,1102235
08/23/19,989.00,1004.00,987.00,1004.00,313215
08/22/19,998.00,1010.00,988.00,1000.00,543645
08/20/19,1020.00,1020.00,997.00,1010.00,322340
08/19/19,1025.00,1025.00,995.00,1020.00,407180
08/16/19,1018.00,1037.00,1008.00,1027.00,1552140
08/15/19,990.00,1020.00,979.00,1020.00,507205
08/14/19,980.00,1026.00,978.00,1004.00,338500
08/13/19,986.50,988.00,958.00,987.00,274520
08/09/19,990.00,997.00,977.50,986.00,375500
08/08/19,990.00,997.00,972.50,981.00,234490
08/07/19,967.50,990.00,960.00,990.00,293810
08/06/19,953.50,967.00,944.50,960.00,560170
08/05/19,1000.00,1005.00,968.00,968.00,367400
08/02/19,1000.00,1000.00,975.00,1000.00,803510
08/01/19,999.50,1000.00,975.00,1000.00,164710
07/31/19,1012.00,1012.00,981.00,999.50,293605
07/30/19,1020.00,1020.00,993.00,1013.00,863125
07/29/19,1015.00,1020.00,998.50,1020.00,264335
07/26/19,995.00,1011.00,993.00,1010.00,155370
07/25/19,996.50,1015.00,980.00,1015.00,241660
07/24/19,990.00,1007.00,988.00,990.00,174615
07/23/19,983.00,1004.00,976.00,1000.00,164870
07/22/19,975.00,990.00,975.00,983.50,695090
07/19/19,982.00,998.50,982.00,990.00,132940
07/18/19,980.00,1000.00,980.00,985.00,72860
07/17/19,990.50,1010.00,977.00,982.00,224550
07/16/19,996.00,1027.00,990.00,990.00,277195
07/15/19,970.00,1007.00,970.00,1007.00,488500
07/12/19,980.00,981.00,960.00,960.00,173480
07/11/19,981.00,992.50,980.00,980.00,148490
07/10/19,956.00,981.00,956.00,980.00,257120
07/09/19,959.50,960.00,945.00,950.00,763110
07/08/19,980.00,983.50,960.00,960.00,97110
07/05/19,978.00,992.50,978.00,983.00,70090
07/04/19,995.50,997.00,976.50,976.50,113800
07/03/19,996.00,997.50,981.50,994.00,673840
07/02/19,981.00,996.00,970.00,996.00,224940
07/01/19,970.00,981.50,965.00,981.50,112940
06/28/19,957.00,969.00,957.00,969.00,279190
06/27/19,952.00,975.50,951.50,975.00,258740
06/26/19,948.50,970.00,940.00,950.00,181680
06/25/19,964.00,972.00,956.00,960.00,119440
06/24/19,971.00,973.00,953.00,964.00,218230
06/21/19,970.00,970.00,951.00,966.00,550460
06/20/19,970.00,970.00,952.00,969.50,171090
06/19/19,948.00,975.00,942.00,975.00,186380
06/18/19,945.00,957.50,936.50,947.50,156910
06/17/19,940.00,958.50,932.00,945.00,201970
06/14/19,964.00,964.00,940.00,940.00,208510
06/13/19,955.00,965.00,935.00,960.00,229030
06/11/19,970.00,980.50,955.00,955.00,270260
06/10/19,960.00,975.00,953.00,971.00,170980
06/07/19,951.00,963.00,942.00,963.00,102590
06/06/19,952.00,965.00,940.50,965.00,263610
06/04/19,965.00,970.00,947.00,957.00,176810
06/03/19,942.00,974.00,942.00,960.50,372660
05/31/19,935.00,942.00,929.50,942.00,378160
05/30/19,936.00,942.00,929.00,929.00,348170
05/29/19,925.50,940.00,925.00,935.50,698570
05/28/19,915.00,927.50,904.50,925.50,996960
05/27/19,920.00,920.50,890.50,915.00,186520
05/24/19,922.00,922.00,900.00,920.50,174600
05/23/19,919.00,923.00,914.00,922.50,162350
05/22/19,902.00,920.00,900.00,916.50,191180
05/21/19,885.00,910.00,884.00,902.00,187600
05/20/19,888.00,898.00,877.00,884.50,432470
05/17/19,880.00,897.50,880.00,888.00,535930
05/16/19,891.00,899.50,880.50,885.00,469890
05/15/19,905.00,917.00,890.00,890.00,375270
05/14/19,924.00,924.00,900.00,902.00,573170
05/10/19,931.50,955.00,917.00,925.00,282970
05/09/19,950.00,956.00,931.00,940.00,480970
05/08/19,948.00,966.00,928.00,966.00,274680
05/07/19,950.00,955.00,940.00,949.00,201150
05/06/19,960.00,962.00,938.00,940.00,178970
05/03/19,960.50,977.00,960.00,960.00,228280
05/02/19,950.00,976.50,945.00,970.00,265450
04/30/19,940.00,951.00,939.50,950.00,216680
04/29/19,929.00,939.00,920.00,935.00,165280
04/26/19,944.00,950.00,930.50,931.00,175610
04/25/19,951.50,953.00,935.50,950.00,183520
04/24/19,930.50,950.00,930.50,950.00,141690
04/23/19,940.00,940.00,930.00,930.00,97040
04/22/19,932.00,940.50,932.00,940.00,73580
04/17/19,940.00,943.00,925.00,930.00,91000
04/16/19,926.50,943.50,925.00,940.00,138960
04/15/19,945.00,945.00,922.50,922.50,166070
04/12/19,959.00,960.00,943.00,943.00,223640
04/11/19,967.00,967.00,950.00,958.00,95060
04/10/19,965.00,971.00,957.00,967.00,344610
04/08/19,944.00,966.00,944.00,953.00,181630
04/05/19,947.00,948.50,940.00,944.00,70570
04/04/19,945.00,948.50,939.00,945.00,168580
04/03/19,941.00,947.50,935.50,945.00,147080
04/02/19,927.00,949.00,926.00,941.00,204480
04/01/19,936.50,949.50,922.50,925.00,249330
03/29/19,949.00,954.50,934.00,934.00,158440
03/28/19,944.50,950.00,942.50,945.00,95300
03/27/19,946.00,946.00,935.00,945.00,236160
03/26/19,936.00,948.50,936.00,945.00,200900
03/25/19,968.00,968.00,931.00,934.00,268470
03/22/19,963.00,980.00,961.50,970.50,237150
03/21/19,949.00,966.00,949.00,966.00,189320
03/20/19,956.00,956.00,931.50,950.00,118770
03/19/19,949.50,955.00,938.50,951.50,167480
03/18/19,934.00,949.50,930.50,949.50,103500
03/15/19,925.00,934.00,901.50,934.00,1146550
03/14/19,928.50,936.00,925.00,925.00,238530
03/13/19,927.50,940.50,926.00,931.00,185490
03/12/19,930.00,946.00,925.50,946.00,188190
03/11/19,950.00,950.00,920.00,925.00,334190
03/08/19,955.00,968.00,940.00,940.00,99050
03/07/19,967.00,969.00,955.00,969.00,72140
03/06/19,945.00,969.00,945.00,969.00,73540
03/05/19,940.00,954.00,940.00,941.50,244750
03/04/19,940.00,949.50,938.00,940.00,205230
03/01/19,944.00,954.00,934.50,940.00,409960
02/28/19,970.00,970.00,930.00,940.00,646050
02/27/19,970.50,980.00,960.00,966.00,231270
02/26/19,989.00,989.00,972.00,985.00,175300
02/22/19,984.00,984.00,955.00,980.00,264500
02/21/19,980.00,984.00,967.50,972.00,189180
02/20/19,969.00,986.00,968.00,980.00,208590
02/19/19,970.00,984.00,965.00,970.00,177280
02/18/19,971.00,994.50,961.00,970.00,242880
02/15/19,989.00,989.00,969.50,970.00,292000
02/14/19,982.00,995.00,970.00,990.00,191030
02/13/19,999.00,999.50,968.50,983.00,420680
02/12/19,1004.00,1005.00,985.00,986.00,217690
02/11/19,1010.00,1010.00,999.50,1000.00,80380
02/08/19,1000.00,1010.00,985.50,1010.00,261250
02/07/19,985.00,1005.00,984.00,1000.00,150460
02/06/19,1000.00,1025.00,980.00,980.00,270280
02/04/19,1012.00,1014.00,992.00,997.00,225610
02/01/19,990.00,1019.00,990.00,1015.00,309660
01/31/19,979.50,997.00,975.00,990.00,478750
01/30/19,972.00,976.00,954.50,975.00,296090
01/29/19,979.00,979.00,963.00,971.00,345240
01/28/19,987.00,1001.00,970.00,970.00,259620
01/25/19,990.00,995.00,978.00,989.00,419830
01/24/19,974.50,990.00,970.50,990.00,265310
01/23/19,966.50,976.00,954.00,976.00,161350
01/22/19,970.00,982.50,970.00,976.00,188100
01/21/19,980.00,984.00,960.00,970.00,105240
01/18/19,956.00,979.00,956.00,976.00,286650
01/17/19,959.00,970.00,947.00,953.00,270820
01/16/19,980.00,980.00,950.00,960.00,244900
01/15/19,990.00,990.00,971.00,980.00,402910
01/14/19,985.00,992.00,966.50,992.00,309730
01/11/19,990.00,994.50,960.00,985.00,289670
01/10/19,994.00,995.00,976.00,985.00,442820
01/09/19,957.50,995.00,950.50,995.00,776700
01/08/19,944.00,955.50,932.00,938.00,226340
01/07/19,960.00,981.00,940.00,940.00,328330
01/04/19,951.00,965.00,946.00,946.00,591270
01/03/19,915.00,958.00,914.50,958.00,689420
01/02/19,927.50,928.00,910.00,915.50,165080
12/28/18,925.00,926.00,915.00,917.50,316700
12/27/18,912.50,929.00,909.00,929.00,235390
12/26/18,910.00,927.00,907.50,911.00,145510
12/21/18,918.00,921.00,906.00,910.00,558390
12/20/18,930.50,939.00,930.00,930.00,232230
12/19/18,910.00,950.00,907.00,950.00,234180
12/18/18,933.00,933.00,910.50,920.00,279950
12/17/18,942.00,950.00,932.00,940.00,134540
12/14/18,948.00,962.00,947.00,952.50,158940
12/13/18,943.00,968.00,934.00,955.00,129180
12/12/18,921.00,945.00,915.00,945.00,282050
12/11/18,915.00,925.00,906.50,920.50,230410
12/10/18,932.50,938.00,900.00,900.00,394770
12/07/18,946.00,957.50,935.00,940.00,219040
12/06/18,960.00,965.00,942.00,950.00,414230
12/05/18,941.50,976.50,941.50,960.00,341880
12/04/18,948.00,980.00,948.00,980.00,610900
12/03/18,920.00,958.00,920.00,948.00,428860
11/29/18,921.00,933.00,908.50,908.50,1054100
11/28/18,915.00,924.00,910.00,915.00,198090
