Date,Open,High,Low,Close,Volume
09/10/19,175.20,176.00,174.40,174.40,127620
09/09/19,175.00,177.00,175.00,176.00,53750
09/06/19,177.80,179.00,175.00,175.00,106330
09/05/19,178.00,178.00,175.10,177.80,114110
09/04/19,177.80,178.00,175.00,178.00,184560
09/03/19,178.00,178.00,176.00,177.90,17910
09/02/19,180.00,180.00,176.70,178.00,87530
08/30/19,175.00,180.00,172.50,180.00,685790
08/29/19,175.00,175.50,172.10,175.50,56700
08/28/19,172.20,175.70,172.20,175.30,226660
08/27/19,175.00,175.00,172.00,172.10,221590
08/23/19,175.00,176.00,173.10,175.00,171660
08/22/19,177.30,177.30,174.40,175.30,82800
08/20/19,177.20,178.00,175.50,175.90,168380
08/19/19,179.90,179.90,176.00,177.10,208780
08/16/19,176.00,183.70,172.80,183.70,637630
08/15/19,174.30,176.00,170.90,176.00,163580
08/14/19,175.00,175.10,174.00,174.30,485690
08/13/19,177.00,177.00,174.00,177.00,127500
08/09/19,176.00,178.20,173.90,177.10,194010
08/08/19,177.00,177.00,174.00,175.00,104570
08/07/19,175.00,178.00,175.00,178.00,277820
08/06/19,175.00,175.10,172.00,175.00,68250
08/05/19,178.50,178.50,175.50,176.50,92360
08/02/19,176.50,178.50,175.90,178.50,82980
08/01/19,178.20,179.00,175.40,175.60,159710
07/31/19,175.50,178.00,171.00,178.00,172140
07/30/19,176.00,176.50,175.10,175.90,350270
07/29/19,174.80,176.50,174.00,175.90,366060
07/26/19,172.50,174.80,172.50,174.80,87610
07/25/19,170.40,172.90,170.10,172.90,350090
07/24/19,173.70,174.00,170.40,170.40,129390
07/23/19,175.00,175.00,172.00,172.50,155800
07/22/19,175.00,175.90,173.50,174.50,49430
07/19/19,175.80,176.90,175.00,175.00,518960
07/18/19,175.60,176.90,175.10,175.10,539920
07/17/19,175.10,177.00,175.00,175.60,87680
07/16/19,174.00,176.00,174.00,175.00,355390
07/15/19,176.00,177.00,172.80,174.00,371270
07/12/19,177.00,177.50,175.50,176.00,350090
07/11/19,175.00,177.50,174.90,177.00,132200
07/10/19,174.60,175.30,174.60,174.90,392170
07/09/19,175.00,175.50,174.60,174.60,146990
07/08/19,175.00,175.50,174.80,175.00,82140
07/05/19,176.00,177.00,174.80,174.90,350090
07/04/19,176.00,177.50,175.10,176.00,363180
07/03/19,178.90,178.90,175.60,175.60,382370
07/02/19,175.00,177.50,174.90,175.90,112860
07/01/19,175.20,176.20,174.90,175.00,350020
06/28/19,178.00,180.00,175.20,175.20,124230
06/27/19,175.90,178.00,175.90,178.00,66330
06/26/19,175.50,176.50,175.40,175.90,132810
06/25/19,178.70,179.00,175.00,175.10,240030
06/24/19,177.00,179.00,177.00,178.00,46180
06/21/19,176.00,177.00,175.20,176.00,423630
06/20/19,175.50,177.50,175.10,176.00,255110
06/19/19,178.80,178.80,173.90,175.50,726590
06/18/19,179.80,179.80,178.40,178.80,403730
06/17/19,181.00,182.50,179.80,179.80,409310
06/14/19,184.50,184.50,180.50,181.00,611580
06/13/19,182.20,186.00,181.00,186.00,329730
06/11/19,182.00,183.00,181.00,182.20,601310
06/10/19,183.10,184.00,181.30,182.00,351120
06/07/19,185.40,186.90,181.00,183.00,402040
06/06/19,185.50,187.00,183.10,185.00,546930
06/04/19,186.50,186.80,183.00,185.00,383140
06/03/19,185.00,187.50,185.00,185.00,234160
05/31/19,183.20,187.50,182.10,187.50,277240
05/30/19,181.70,183.20,179.20,182.00,182760
05/29/19,178.40,183.00,178.40,182.00,186040
05/28/19,182.00,182.00,178.20,178.20,370170
05/27/19,179.00,182.90,179.00,181.10,56390
05/24/19,179.60,182.90,178.80,179.00,219020
05/23/19,181.80,181.80,179.30,179.80,329950
05/22/19,185.00,186.00,181.80,181.80,251780
05/21/19,186.70,186.70,180.70,186.00,90620
05/20/19,180.00,186.70,178.60,186.70,224950
05/17/19,180.30,183.70,177.50,179.80,366070
05/16/19,187.70,187.70,180.50,180.50,231160
05/15/19,185.00,188.40,182.50,187.70,919750
05/14/19,189.50,189.50,180.00,184.10,308980
05/10/19,192.50,192.50,186.80,190.00,294730
05/09/19,188.00,195.90,183.00,195.50,3393670
05/08/19,185.00,188.00,182.00,188.00,343440
05/07/19,179.00,185.20,178.00,185.20,752070
05/06/19,178.30,181.00,178.30,180.00,378620
05/03/19,177.50,182.50,177.50,178.30,262270
05/02/19,177.00,180.00,177.00,177.50,165330
04/30/19,173.00,180.50,173.00,180.50,394770
04/29/19,174.20,174.20,171.90,173.00,435070
04/26/19,175.00,177.70,172.90,174.00,235170
04/25/19,177.20,178.00,173.80,175.00,256830
04/24/19,177.80,179.10,177.30,177.30,270550
04/23/19,176.90,177.80,175.10,177.80,330320
04/22/19,175.90,176.90,175.30,176.90,191240
04/17/19,174.90,175.90,173.90,175.90,180320
04/16/19,174.20,177.40,173.40,174.90,275730
04/15/19,181.40,184.00,173.70,173.70,624860
04/12/19,178.90,182.00,178.50,181.40,1226320
04/11/19,179.00,179.40,177.00,178.90,1019290
04/10/19,175.50,179.80,175.40,179.60,599850
04/08/19,176.00,177.10,174.90,175.50,275290
04/05/19,173.90,176.00,173.00,176.00,214020
04/04/19,173.50,174.00,172.60,173.80,197890
04/03/19,174.20,174.20,173.50,173.80,198690
04/02/19,173.50,175.00,173.00,175.00,195430
04/01/19,174.00,174.00,172.30,173.50,287270
03/29/19,173.70,175.00,172.10,174.00,325140
03/28/19,175.00,175.40,172.70,175.00,184330
03/27/19,176.00,176.00,175.00,175.40,470630
03/26/19,171.20,175.50,170.20,175.50,417900
03/25/19,173.90,173.90,169.50,170.00,271180
03/22/19,175.30,176.40,173.90,173.90,292730
03/21/19,175.50,178.50,174.00,175.20,725890
03/20/19,176.00,176.00,172.00,175.00,361970
03/19/19,175.00,176.80,174.00,176.00,840980
03/18/19,174.80,174.80,174.00,174.30,300190
03/15/19,173.00,174.20,167.50,174.20,13313500
03/14/19,172.40,173.00,170.40,172.00,782770
03/13/19,171.20,175.90,171.20,172.40,1167710
03/12/19,174.10,176.90,171.40,174.00,1542220
03/11/19,172.00,177.80,172.00,174.10,1294480
03/08/19,176.70,178.50,173.40,174.10,640090
03/07/19,170.00,178.40,169.10,176.80,1264570
03/06/19,169.40,172.00,168.80,169.10,662930
03/05/19,169.00,170.30,168.90,169.40,873930
03/04/19,170.00,172.90,168.60,169.50,642170
03/01/19,170.70,173.40,169.50,170.70,647820
02/28/19,172.10,173.00,170.20,170.90,504660
02/27/19,179.60,179.60,172.00,172.00,628630
02/26/19,179.00,180.00,178.80,180.00,3090920
02/22/19,174.50,179.50,174.50,179.00,1779850
02/21/19,174.50,175.00,173.60,174.50,952160
02/20/19,173.10,175.40,173.10,174.70,842140
02/19/19,174.00,177.00,172.00,174.00,764360
02/18/19,165.00,175.70,165.00,174.50,2406420
02/15/19,164.00,164.00,162.10,163.00,492150
02/14/19,160.00,163.50,159.00,163.50,219590
02/13/19,162.00,162.10,160.00,161.90,291390
02/12/19,164.00,164.00,161.50,163.00,400840
02/11/19,165.00,166.00,163.10,166.00,209100
02/08/19,163.10,166.40,162.90,165.40,346100
02/07/19,165.00,165.90,162.80,163.10,478310
02/06/19,166.80,168.00,165.00,165.00,486850
02/04/19,166.50,167.90,166.50,166.80,337040
02/01/19,165.00,167.60,164.50,166.50,575970
01/31/19,165.00,167.00,163.80,165.00,365770
01/30/19,164.00,166.00,163.00,163.00,833360
01/29/19,165.40,165.40,163.00,164.00,543050
01/28/19,168.60,169.40,165.00,165.40,602800
01/25/19,170.50,172.00,168.00,168.50,519830
01/24/19,168.00,174.00,165.60,174.00,1609920
01/23/19,168.00,168.90,165.50,168.90,666730
01/22/19,162.50,170.00,161.20,170.00,2258200
