Date,Open,High,Low,Close,Volume
09/10/19,34.90,34.90,34.25,34.65,8807500
09/09/19,35.00,35.00,34.50,35.00,4643200
09/06/19,34.45,34.85,34.45,34.55,9973500
09/05/19,34.55,34.90,34.05,34.05,9368400
09/04/19,34.50,34.50,34.05,34.15,9033300
09/03/19,35.00,35.00,34.10,34.10,18809000
09/02/19,35.30,35.45,34.90,35.00,11214400
08/30/19,35.00,35.80,35.00,35.30,19065400
08/29/19,35.20,35.50,35.00,35.00,9039700
08/28/19,34.65,35.05,34.45,35.05,7017100
08/27/19,34.85,35.20,34.50,34.65,31057199
08/23/19,34.70,35.00,34.45,34.80,7672700
08/22/19,35.85,35.85,34.65,35.00,15420500
08/20/19,34.75,35.70,34.70,35.70,11271800
08/19/19,34.55,35.00,34.35,34.75,15769000
08/16/19,34.10,35.25,34.10,34.10,27162301
08/15/19,35.00,35.05,34.00,34.50,21786000
08/14/19,35.00,35.90,35.00,35.50,14396300
08/13/19,35.50,35.90,34.45,34.70,20577301
08/09/19,36.50,36.70,35.50,35.50,5528400
08/08/19,36.85,36.95,36.40,36.50,9664000
08/07/19,36.05,36.80,36.05,36.80,15407400
08/06/19,36.00,36.50,35.55,35.90,14550000
08/05/19,37.60,37.60,36.00,36.00,8642400
08/02/19,37.80,37.80,36.85,37.60,7433900
08/01/19,36.50,38.00,36.50,38.00,6341800
07/31/19,37.70,37.70,36.50,36.50,17479900
07/30/19,38.20,38.20,37.50,37.50,19576000
07/29/19,37.55,38.20,37.50,38.20,6651100
07/26/19,37.85,38.05,37.50,37.50,7252600
07/25/19,37.50,37.95,37.50,37.80,4377800
07/24/19,37.75,38.25,37.50,37.50,7293500
07/23/19,38.10,38.30,37.80,37.80,5549500
07/22/19,38.15,38.50,37.75,37.90,9283300
07/19/19,38.75,38.85,38.50,38.70,6279000
07/18/19,38.95,38.95,38.30,38.30,6807000
07/17/19,39.25,39.25,38.65,38.70,4155900
07/16/19,39.50,39.70,39.20,39.25,11258500
07/15/19,38.35,39.50,38.35,39.50,11488600
07/12/19,39.20,39.25,38.30,38.30,7380400
07/11/19,38.60,39.30,38.50,39.20,7399800
07/10/19,38.45,38.65,38.25,38.50,2926200
07/09/19,37.85,38.45,37.85,38.45,2923400
07/08/19,38.25,38.30,37.80,37.80,5707000
07/05/19,38.00,38.40,38.00,38.25,4983200
07/04/19,38.05,38.30,37.90,38.00,10628500
07/03/19,37.85,38.30,37.85,38.05,10875400
07/02/19,38.00,38.40,37.70,38.00,12162200
07/01/19,37.30,38.00,37.30,38.00,6111400
06/28/19,38.00,38.20,37.10,37.10,21544000
06/27/19,37.80,38.15,37.80,37.90,20349199
06/26/19,38.05,38.20,37.75,37.80,9262900
06/25/19,38.50,38.90,38.00,38.00,10669700
06/24/19,38.60,38.75,38.40,38.45,7021300
06/21/19,38.40,38.80,38.30,38.30,29575801
06/20/19,38.20,38.50,38.20,38.35,8634300
06/19/19,38.40,38.75,38.20,38.40,10989700
06/18/19,38.25,38.75,38.00,38.10,6719300
06/17/19,39.20,39.20,38.30,38.30,4570100
06/14/19,39.10,39.10,38.40,39.00,10061000
06/13/19,39.90,39.90,38.90,39.05,7888400
06/11/19,39.55,40.30,39.25,39.25,5982000
06/10/19,39.35,39.70,39.35,39.70,5488400
06/07/19,39.15,39.50,38.95,39.35,2753100
06/06/19,39.35,39.35,39.00,39.15,8494100
06/04/19,40.20,40.20,39.00,39.00,5390000
06/03/19,39.60,40.70,39.30,40.25,12859500
05/31/19,39.30,39.80,39.15,39.80,7313100
05/30/19,38.90,40.00,38.90,39.00,12290300
05/29/19,39.30,39.95,39.15,39.20,8876200
05/28/19,38.40,39.30,38.15,39.25,22065801
05/27/19,38.65,38.80,38.15,38.40,9197800
05/24/19,39.30,39.30,38.75,38.80,8233100
05/23/19,39.35,39.50,38.80,39.40,3749300
05/22/19,39.45,39.95,38.90,39.35,11113200
05/21/19,39.40,39.85,38.80,39.45,5198800
05/20/19,39.10,39.40,38.25,39.40,7410300
05/17/19,38.00,39.25,38.00,39.10,9628000
05/16/19,37.55,38.40,37.50,37.95,10943200
05/15/19,38.55,38.85,37.50,37.50,7148600
05/14/19,38.45,38.50,37.05,38.40,16851100
05/10/19,38.60,39.65,38.50,38.50,11533800
05/09/19,39.50,39.50,38.65,38.65,12593900
05/08/19,40.05,40.05,38.90,39.50,10024600
05/07/19,40.05,40.30,39.75,40.05,4639400
05/06/19,40.90,40.90,39.75,40.10,6142900
05/03/19,41.80,41.90,40.90,40.90,4073000
05/02/19,41.50,42.50,41.15,41.80,17330301
