Date,Open,High,Low,Close,Volume
09/10/19,1159.00,1184.00,1159.00,1180.00,124535
09/09/19,1152.00,1160.00,1146.00,1154.00,66240
09/06/19,1150.00,1154.00,1140.00,1144.00,38720
09/05/19,1133.00,1156.00,1133.00,1140.00,130900
09/04/19,1157.00,1160.00,1133.00,1133.00,87205
09/03/19,1164.00,1184.00,1148.00,1148.00,76175
09/02/19,1170.00,1170.00,1151.00,1164.00,22545
08/30/19,1124.00,1179.00,1121.00,1179.00,190395
08/29/19,1120.00,1130.00,1111.00,1125.00,174690
08/28/19,1120.00,1129.00,1110.00,1120.00,146810
08/27/19,1132.00,1144.00,1100.00,1117.00,235315
08/23/19,1128.00,1156.00,1116.00,1149.00,146335
08/22/19,1106.00,1135.00,1090.00,1130.00,249975
08/20/19,1118.00,1118.00,1105.00,1105.00,132770
08/19/19,1142.00,1150.00,1134.00,1149.00,132250
08/16/19,1141.00,1184.00,1131.00,1131.00,152215
08/15/19,1163.00,1165.00,1126.00,1152.00,116125
08/14/19,1177.00,1190.00,1150.00,1170.00,149875
08/13/19,1185.00,1210.00,1140.00,1170.00,393760
08/09/19,1168.00,1208.00,1168.00,1184.00,232525
08/08/19,1100.00,1164.00,1092.00,1164.00,145780
08/07/19,1117.00,1145.00,1080.00,1090.00,286420
08/06/19,1144.00,1144.00,1105.00,1105.00,100635
08/05/19,1150.00,1159.00,1138.00,1145.00,148750
08/02/19,1144.00,1165.00,1130.00,1150.00,140275
08/01/19,1150.00,1150.00,1130.00,1145.00,40395
07/31/19,1150.00,1150.00,1125.00,1150.00,114400
07/30/19,1135.00,1163.00,1134.00,1138.00,118375
07/29/19,1139.00,1148.00,1133.00,1134.00,77615
07/26/19,1148.00,1160.00,1126.00,1135.00,75280
07/25/19,1139.00,1160.00,1119.00,1160.00,108585
07/24/19,1155.00,1165.00,1120.00,1120.00,123975
07/23/19,1184.00,1198.00,1148.00,1148.00,252305
07/22/19,1176.00,1189.00,1174.00,1184.00,58350
07/19/19,1198.00,1203.00,1187.00,1187.00,165360
07/18/19,1200.00,1200.00,1176.00,1180.00,177225
07/17/19,1228.00,1228.00,1185.00,1185.00,66910
07/16/19,1222.00,1238.00,1200.00,1200.00,126840
07/15/19,1220.00,1235.00,1214.00,1222.00,73970
07/12/19,1224.00,1245.00,1214.00,1214.00,137130
07/11/19,1209.00,1222.00,1190.00,1210.00,119575
07/10/19,1194.00,1200.00,1188.00,1198.00,76470
07/09/19,1205.00,1225.00,1179.00,1193.00,149155
07/08/19,1259.00,1259.00,1204.00,1205.00,62835
07/05/19,1246.00,1267.00,1240.00,1240.00,68375
07/04/19,1265.00,1272.00,1240.00,1240.00,52495
07/03/19,1290.00,1290.00,1256.00,1256.00,53050
07/02/19,1272.00,1286.00,1268.00,1280.00,51305
07/01/19,1290.00,1295.00,1266.00,1272.00,57175
06/28/19,1300.00,1318.00,1274.00,1290.00,99280
06/27/19,1280.00,1304.00,1280.00,1303.00,118600
06/26/19,1300.00,1300.00,1274.00,1288.00,47160
06/25/19,1299.00,1302.00,1288.00,1299.00,102040
06/24/19,1280.00,1304.00,1276.00,1294.00,96210
06/21/19,1263.00,1280.00,1252.00,1280.00,293410
06/20/19,1232.00,1265.00,1232.00,1251.00,174075
06/19/19,1213.00,1245.00,1201.00,1231.00,289610
06/18/19,1195.00,1206.00,1164.00,1178.00,190270
06/17/19,1230.00,1239.00,1195.00,1195.00,256930
06/14/19,1238.00,1240.00,1225.00,1230.00,142640
06/13/19,1230.00,1238.00,1230.00,1231.00,344285
06/11/19,1232.00,1262.00,1229.00,1230.00,158995
06/10/19,1232.00,1244.00,1227.00,1230.00,109600
06/07/19,1232.00,1239.00,1230.00,1230.00,122420
06/06/19,1246.00,1268.00,1230.00,1230.00,269330
06/04/19,1263.00,1278.00,1240.00,1244.00,840035
06/03/19,1340.00,1373.00,1331.00,1358.00,185595
05/31/19,1293.00,1350.00,1293.00,1350.00,220625
05/30/19,1274.00,1317.00,1271.00,1280.00,196310
05/29/19,1281.00,1300.00,1273.00,1273.00,88160
05/28/19,1283.00,1316.00,1273.00,1277.00,593715
05/27/19,1313.00,1340.00,1282.00,1282.00,76155
05/24/19,1301.00,1350.00,1280.00,1350.00,168195
05/23/19,1320.00,1340.00,1311.00,1327.00,126635
05/22/19,1299.00,1333.00,1293.00,1321.00,168020
05/21/19,1270.00,1310.00,1264.00,1303.00,158165
05/20/19,1256.00,1275.00,1256.00,1270.00,101950
05/17/19,1230.00,1264.00,1230.00,1255.00,145410
05/16/19,1222.00,1238.00,1210.00,1220.00,181770
