Date,Open,High,Low,Close,Volume
09/10/19,168.00,169.50,167.10,167.20,581630
09/09/19,168.60,170.00,166.80,169.50,736410
09/06/19,167.00,170.40,167.00,168.50,436200
09/05/19,167.00,172.00,166.00,167.00,694020
09/04/19,167.40,169.00,166.90,166.90,513780
09/03/19,170.30,170.30,167.50,167.50,850000
09/02/19,173.00,173.00,169.10,170.30,554830
08/30/19,172.50,173.00,168.00,173.00,1587180
08/29/19,172.00,172.00,171.00,172.00,1664760
08/28/19,168.50,171.80,168.00,171.80,1353980
08/27/19,170.50,171.20,165.00,168.50,3671210
08/23/19,170.00,171.60,166.10,171.00,1517430
08/22/19,167.00,172.00,165.20,172.00,1093980
08/20/19,171.90,171.90,165.30,168.00,539100
08/19/19,162.00,172.50,162.00,172.50,1023370
08/16/19,164.00,165.00,162.00,162.00,1203480
08/15/19,166.00,168.90,161.30,166.00,1626690
08/14/19,161.20,171.10,161.20,169.50,2070650
08/13/19,160.80,164.00,157.30,163.00,1013630
08/09/19,161.00,163.00,159.00,161.00,913320
08/08/19,162.00,163.70,160.00,161.00,396240
08/07/19,164.90,165.50,161.60,164.00,683460
08/06/19,161.00,162.00,157.50,161.00,1358050
08/05/19,168.50,168.50,161.90,161.90,1583730
08/02/19,164.00,170.00,161.00,169.60,1031430
08/01/19,160.00,165.60,156.00,164.00,1315480
07/31/19,167.60,167.80,159.60,159.60,1979240
07/30/19,168.10,168.90,167.00,167.50,1714340
07/29/19,171.00,171.00,167.00,170.00,745770
07/26/19,173.40,173.90,171.00,171.00,931670
07/25/19,171.80,173.40,168.00,173.40,831630
07/24/19,170.10,172.60,170.00,171.80,966820
07/23/19,168.00,169.70,166.20,169.70,752550
07/22/19,165.00,169.00,165.00,168.00,640250
07/19/19,169.10,171.90,165.50,166.00,1204100
07/18/19,171.00,171.40,168.80,169.10,344490
07/17/19,171.10,173.90,170.70,171.00,724810
07/16/19,175.00,175.10,171.00,171.00,1067120
07/15/19,171.60,177.90,171.60,175.00,968550
07/12/19,173.10,174.50,171.70,171.70,482420
07/11/19,175.00,175.00,173.00,173.00,843410
07/10/19,177.50,177.50,173.60,175.00,1270610
07/09/19,179.80,179.80,173.80,176.00,981550
07/08/19,176.00,180.40,173.50,178.00,1318260
07/05/19,172.00,176.90,171.30,176.00,990480
07/04/19,170.50,173.00,168.20,172.00,608670
07/03/19,167.40,171.60,167.00,170.50,1356280
07/02/19,164.70,168.00,164.70,167.50,460880
07/01/19,167.00,168.60,164.10,166.00,310330
06/28/19,172.50,174.00,166.00,166.00,1462400
06/27/19,173.20,174.30,172.20,174.00,811500
06/26/19,176.80,177.00,172.20,174.50,672920
06/25/19,175.90,178.50,175.60,177.40,1586430
06/24/19,175.80,176.00,173.70,176.00,538560
06/21/19,173.40,176.00,169.00,176.00,1590730
06/20/19,174.00,174.00,172.60,173.40,1042480
06/19/19,173.90,173.90,171.00,173.90,1172850
06/18/19,170.00,173.90,169.00,173.90,1001760
06/17/19,174.00,174.00,168.00,170.00,694850
06/14/19,176.00,176.00,172.10,174.00,834050
06/13/19,170.00,176.00,170.00,176.00,1586400
06/11/19,173.00,175.50,171.10,175.00,1732290
06/10/19,169.00,173.30,168.00,173.00,1696410
06/07/19,167.80,169.00,166.70,169.00,468410
06/06/19,167.90,168.70,165.20,168.00,893400
06/04/19,171.00,171.30,168.00,168.00,909920
06/03/19,167.00,173.70,165.70,171.50,1965210
05/31/19,164.00,167.00,162.00,167.00,2121770
05/30/19,159.50,164.00,159.00,163.00,1431050
05/29/19,157.00,161.40,156.10,159.00,1093080
05/28/19,153.00,158.00,153.00,155.00,3235860
05/27/19,153.90,153.90,151.50,152.70,544190
05/24/19,155.80,155.80,153.50,153.90,478560
